"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","64/1985","157/9500",9.63913582565711e-09,4.79202752475525e-07,3.11641233461094e-07,"5590/10207/7482/23418/7042/56288/8325/29119/9231/657/6934/7003/595/10413/81029/26524/84962/122786/652/4088/999/7531/7473/4092/4089/5518/10971/1496/3397/84612/4771/7476/7048/1499/8994/7474/2932/25937/5584/166824/374/658/4086/6932/1495/2246/5521/23286/23291/654/896/653/1490/8321/5054/51384/6591/6788/7534/8323/4609/7046/286204/154796",64
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","75/1985","204/9500",1.01588412526052e-07,4.41909594488325e-06,2.87388272277646e-06,"5567/10451/7482/356/4660/7042/10000/3688/8325/288/5328/51196/960/595/5962/23365/81029/3845/3709/3678/10818/4659/3479/5829/7057/3480/5579/4313/6774/7473/3690/1655/6093/5605/9475/6382/6654/2817/6385/7074/7078/7476/1499/7474/3693/22808/5291/3791/10855/287/817/2247/7097/29102/3673/5295/1839/2099/5879/1956/8321/1278/857/4233/51384/6469/286/6383/8323/4609/5747/1514/5727/4478/2719",75
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","116/1985","362/9500",2.80076513770397e-07,9.7466626792098e-06,6.33857373269845e-06,"2782/1969/3716/55970/23566/1435/4803/117145/3570/356/3915/10000/3688/627/90993/595/7450/3845/1280/3678/4254/3479/2321/10161/1282/1284/5529/7057/22801/3480/23035/7531/146850/3690/2793/3675/3909/23239/596/6794/5605/3643/5518/10971/6654/7039/10018/3694/3655/1385/3667/1293/598/3454/5155/3680/9223/2932/3693/5523/5291/2261/5156/3791/374/2250/6696/1950/3558/2247/7097/56034/7424/5618/3575/3672/3673/5295/2149/1946/2246/5521/8817/5617/896/2309/3910/3908/6446/5879/3696/3569/9586/1956/9863/1021/1278/2056/5294/22798/4233/64764/4846/6009/285/7534/284/4609/5747/3456/7010/4915/3371/6256/2846/1288",116
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","63/1985","174/9500",1.93467101758462e-06,6.12059558290406e-05,3.98042362469562e-05,"56998/3725/4919/5567/7482/81839/8325/22943/6934/1488/4041/595/4316/81029/4040/8549/122011/23002/4088/7090/5579/6477/51701/50964/7473/4089/9475/23236/5332/4773/164284/9978/2033/7476/1499/7474/166336/2932/59343/5602/5530/27123/817/1501/4163/6932/23291/5601/896/6885/84870/5879/6424/8321/51384/5533/8323/4609/8840/7091/7088/6907/2239",63
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","39/1985","93/9500",3.22431584552878e-06,7.48041276162676e-05,4.86475724062237e-05,"7709/1647/3915/7188/10000/3688/7189/595/317/5925/1282/1284/4149/7187/4843/3675/3909/596/4616/3655/598/5915/2272/5291/3673/5295/51426/1871/3910/3908/54205/1021/22798/4609/5747/1164/7185/6256/1288",39
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","55/1985","150/9500",5.53289865027036e-06,0.000113261690017299,7.36577838890481e-05,"1647/7482/83998/6464/7042/10000/8325/29119/6934/4041/595/81029/4040/3845/122011/5925/399694/4088/999/7473/4089/596/4616/5605/6654/1496/7476/5915/7048/4292/1499/7474/2932/5291/2250/1950/2247/5295/51426/6932/1495/2246/8817/1871/1956/8321/4233/51384/6469/1015/8323/4609/53358/7046/6256",55
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","93/1985","300/9500",1.92255556703284e-05,0.000302392068641179,0.00019665545903767,"1969/3725/1647/55970/5567/1435/5906/4803/356/777/7042/11221/84451/10000/1847/627/7189/7132/3845/5801/4254/1848/3479/2321/4149/4293/10125/3480/5579/1398/5606/51701/57551/9020/27092/4616/5605/3643/773/5536/8605/25780/6654/7039/9448/3554/3552/785/51776/10369/5155/7048/55799/22808/2122/9175/3556/2261/5156/3791/374/2250/5602/5530/1950/2247/56034/9693/7424/5921/4208/1946/2246/8817/5601/6885/4217/23118/4216/6196/2768/5879/1956/4233/285/5533/6788/284/4609/7010/4915/7046/6197",93
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","58/1985","170/9500",3.76769514312216e-05,0.000504291503771736,0.000327957269543022,"8289/1647/2949/7482/6464/7042/10000/8325/6934/4041/595/81029/4040/4257/3845/6601/7296/122011/5925/8110/399694/4088/3480/5579/7473/4089/4616/5605/8193/6654/7039/598/10587/7476/7048/1499/6599/55193/7474/2932/5291/86/5295/51426/6932/1871/2940/57492/1956/8321/1021/4233/51384/8323/4609/6595/53358/7046",58
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","34/1985","87/9500",7.73265865209894e-05,0.000961059003903725,0.000625008124135816,"3725/1647/7042/10000/6934/595/3845/4088/4089/596/4616/5605/6654/2956/7039/10018/7048/4292/1499/2932/5291/374/5602/1950/5295/51426/6932/5601/5879/54205/5898/1956/4609/7046",34
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","49/1985","148/9500",0.000330849848902551,0.00274132731947828,0.00178277487503881,"3725/1647/7482/6464/10000/8325/6934/4041/595/81029/4040/3845/6667/3479/122011/8600/5925/399694/3480/7473/4616/5605/8648/6654/182/8202/7476/1499/7474/2932/5291/3280/2250/1950/2247/5295/51426/6932/2246/8817/1871/2099/1956/8321/1021/51384/8323/4609/53358",49
