"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","31/2763","59/9500",0.000126272484180519,0.00109857061237051,0.000664592022002729,"5293/1647/10000/29119/5728/6934/3611/1643/595/3845/999/2064/4616/5605/6654/1496/83439/5894/4292/1499/2932/5291/51176/1950/51426/324/6932/1495/2309/1956/4609",31
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","44/2763","93/9500",0.000143350575189472,0.00118776190871277,0.000718549249070035,"5293/7709/1647/3915/3918/7188/10000/3688/5728/1643/595/329/317/1284/7187/4843/3675/284217/3909/596/4616/3655/3685/2335/1285/598/5915/3913/2272/5291/4790/3673/51426/1871/3910/3908/1021/3912/3551/4609/5747/7185/7186/1288",44
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","37/2763","77/9500",0.000321728666467881,0.0023821611900175,0.0014411138475605,"5293/2475/3716/1647/7042/10000/5599/1643/595/3845/4088/2064/6774/10928/4087/4089/4616/7040/7039/598/5880/5894/7048/5291/5337/5602/4790/1950/51426/5601/1871/5879/5898/1956/1021/3551/7046",37
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","45/2763","99/9500",0.000377241571287384,0.00273500139183353,0.0016545682951201,"5293/2475/10163/8613/3725/126969/8394/10000/5599/80310/3845/6667/56994/10810/160851/2353/5579/5578/8612/5605/6654/8527/56261/5880/5155/5894/5291/5337/1608/5130/5156/5602/1950/56034/8611/6584/5159/5601/5879/1956/9162/6009/1978/23446/9468",45
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","61/2763","148/9500",0.00098399521610512,0.0062874917258952,0.00380368525462504,"5293/2475/3725/1647/7482/4853/6464/10000/5728/6934/1643/4041/595/2249/2248/81029/4040/3845/6667/3479/122011/8600/2353/399694/2252/3480/2064/2535/7473/4616/5605/6654/83439/8324/182/8202/5894/1499/7474/2932/5291/3280/2250/51176/1950/2247/51426/324/6932/2246/1452/8817/1871/2099/1956/8321/1021/51384/8323/4609/53358",61
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","46/2763","106/9500",0.0011246972675757,0.00677401781904344,0.00409801440958466,"5293/2475/10000/5328/5728/6934/595/2352/4314/80310/3845/3479/2308/3480/1387/2064/596/5605/6654/7039/83439/7850/1385/2078/7113/5155/5894/1499/2932/5291/2119/5156/4790/51176/1950/56034/6932/5159/1871/2911/9586/1956/64764/5327/3551/367",46
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","34/2763","75/9500",0.00198076111989567,0.0102881323839357,0.00622391553777115,"1647/92344/64326/4194/983/84883/5728/355/3732/1643/595/472/317/3479/7057/6477/8493/5366/596/5268/4616/10848/6241/598/545/64393/901/900/896/27244/64065/3486/1021/5054",34
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","19/2763","37/9500",0.0035531996862581,0.0154564186352227,0.0093505254901529,"1647/8031/8030/6934/1643/595/3845/999/4616/5605/83439/7849/5468/1499/10342/51176/51426/6932/4609",19
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","74/2763","201/9500",0.0101701426490571,0.0350416796224936,0.0211988382471226,"7709/5081/1647/5087/221037/5328/3087/1643/329/4314/472/7704/4297/2313/2120/466/6667/8091/1848/3479/2321/2308/1053/25942/597/9915/3480/8148/5914/2118/6760/84444/4616/4298/4211/7850/7849/905/5077/598/26039/861/2078/7113/5468/7048/4286/2119/604/8842/51274/3576/4790/4086/51426/4208/1436/8358/8353/8464/860/3066/2115/3569/3486/5218/4233/51384/5327/4609/5747/4300/7185/5090",74
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","30/2763","71/9500",0.0119115067844861,0.038381521861122,0.0232193114707332,"5293/2475/6513/10000/5214/80201/3098/5728/3939/3845/5315/4916/8140/2064/5605/6510/2744/5894/5162/5291/6514/2261/5156/5161/5159/2645/1956/4233/4609/5160",30
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","59/2763","158/9500",0.0147434917535626,0.0444557439346194,0.0268939769719415,"7709/1647/8556/7042/983/119504/9126/7465/595/25906/472/5519/1663/51433/8881/5529/701/4088/90381/1387/7531/990/996/10403/4087/4089/4616/7040/10971/699/64682/7529/7533/9978/2932/25847/10274/7029/545/23244/25836/1022/902/8697/1871/896/9587/3066/8379/1021/8454/157570/7534/27085/4609/8555/25/55869/10735",59
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","29/2763","70/9500",0.0179223014891727,0.0524114362876648,0.0317068580082666,"5293/6513/3725/5906/7042/54583/2271/10000/5058/2113/3845/5908/9915/1387/5605/7040/6654/2034/7039/5155/9978/5894/5291/5062/2549/5879/4233/2889/5063",29
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","30/2763","73/9500",0.0183610173123711,0.0532469502058761,0.0322123110743352,"5293/1647/10000/3799/1643/595/3845/5579/2064/6774/5578/4616/5605/238/6654/27436/7039/3800/6789/5894/5915/2272/5291/1950/51426/1871/2309/1956/1021/4233",30
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","35/2763","90/9500",0.0283918361491175,0.0753299014925614,0.0455716282471636,"5293/2475/3725/3716/919/55509/10000/5728/283106/114609/3845/2353/10125/5606/6774/4215/5608/5605/148022/238/27436/940/1457/4773/3460/5894/5291/5530/4790/1950/1956/5533/3551/3717/7099",35
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","17/2763","41/9500",0.0606516341966146,0.137056939613129,0.0829140590521047,"595/3845/7057/23604/999/2064/1613/5605/5894/2261/3576/1950/1839/1871/1956/4609/1612",17
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","24/2763","63/9500",0.0772117383450047,0.167935530900385,0.101594392559217,"1647/7482/6934/1643/81029/374654/2535/7473/4616/83439/8324/1499/7474/2932/51176/51426/324/6932/2737/8321/51384/6469/8323/5727",24
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","102/2763","320/9500",0.145741395369766,0.277147571522833,0.167663382651442,"5293/2475/3925/4853/4170/6464/4194/406988/7042/7431/54541/5328/5728/619552/960/595/442900/472/5962/406911/406882/3845/8091/6541/406948/10253/8660/693210/7057/90427/399694/7168/9493/1387/4363/5579/2064/6774/10014/7473/3690/10642/406991/5578/57521/596/5268/5605/442918/6654/5581/10018/406915/9839/2744/3667/9759/1789/1591/406885/7078/5155/406883/5894/27086/5291/407020/8626/2261/5156/4790/1946/324/406937/5159/406938/900/1871/6659/7148/5292/407029/4082/3066/6624/1956/5243/1021/4233/2146/3551/23414/4609/406894/407035/8434/407036/3371/406956/25/407007/574031",102
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","12/2763","32/9500",0.194220841549894,0.353868339577816,0.214076430476598,"5599/840/8772/329/317/5366/596/10018/666/598/5602/5601",12
