"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","pathway_category","direction_ratio","direction_class"
"GO:0045785","positive regulation of cell adhesion","108/2235","431/15151",0.250580046403712,1.69867484700789,6.12126104369601,8.78194957806586e-09,3.63823625377014e-06,2.94096266321093e-06,"ENSG00000259207/ENSG00000154175/ENSG00000142871/ENSG00000153071/ENSG00000105974/ENSG00000124126/ENSG00000135074/ENSG00000124253/ENSG00000162692/ENSG00000105810/ENSG00000049130/ENSG00000115414/ENSG00000144810/ENSG00000130396/ENSG00000134954/ENSG00000132669/ENSG00000143507/ENSG00000091986/ENSG00000140416/ENSG00000128567/ENSG00000099250/ENSG00000128052/ENSG00000091409/ENSG00000198959/ENSG00000136244/ENSG00000145868/ENSG00000248905/ENSG00000150782/ENSG00000171150/ENSG00000163513/ENSG00000144802/ENSG00000164442/ENSG00000060656/ENSG00000169499/ENSG00000143322/ENSG00000135046/ENSG00000104312/ENSG00000124766/ENSG00000171877/ENSG00000108691/ENSG00000184371/ENSG00000096968/ENSG00000154188/ENSG00000168685/ENSG00000197646/ENSG00000107338/ENSG00000026508/ENSG00000152818/ENSG00000140945/ENSG00000168743/ENSG00000145555/ENSG00000166949/ENSG00000147459/ENSG00000168615/ENSG00000117586/ENSG00000139514/ENSG00000149177/ENSG00000151150/ENSG00000169756/ENSG00000138814/ENSG00000156234/ENSG00000110080/ENSG00000091136/ENSG00000162434/ENSG00000107742/ENSG00000197747/ENSG00000125726/ENSG00000196569/ENSG00000092969/ENSG00000071051/ENSG00000140836/ENSG00000149311/ENSG00000120899/ENSG00000079691/ENSG00000125266/ENSG00000153310/ENSG00000135218/ENSG00000049618/ENSG00000168811/ENSG00000117713/ENSG00000166164/ENSG00000164690/ENSG00000198836/ENSG00000106541/ENSG00000134215/ENSG00000101665/ENSG00000114251/ENSG00000080503/ENSG00000145794/ENSG00000143772/ENSG00000157764/ENSG00000082701/ENSG00000138448/ENSG00000115109/ENSG00000102908/ENSG00000008256/ENSG00000171132/ENSG00000197635/ENSG00000158092/ENSG00000189403/ENSG00000197122/ENSG00000102468/ENSG00000121879/ENSG00000115008/ENSG00000141293/ENSG00000109906/ENSG00000081237/ENSG00000106571",108,"migration",0.351851851851852,"Mixed"
"GO:0048638","regulation of developmental growth","79/2235","296/15151",0.266891891891892,1.80925237317855,5.84890504922544,5.22920406788121e-08,1.28148595677026e-05,1.03588719627128e-05,"ENSG00000150457/ENSG00000151718/ENSG00000078018/ENSG00000115414/ENSG00000112902/ENSG00000182621/ENSG00000075426/ENSG00000143507/ENSG00000171476/ENSG00000099250/ENSG00000187955/ENSG00000131711/ENSG00000169083/ENSG00000164442/ENSG00000170312/ENSG00000075213/ENSG00000078401/ENSG00000151320/ENSG00000149295/ENSG00000138685/ENSG00000151748/ENSG00000176697/ENSG00000081189/ENSG00000184371/ENSG00000114861/ENSG00000221866/ENSG00000187164/ENSG00000082482/ENSG00000113739/ENSG00000120756/ENSG00000129682/ENSG00000176788/ENSG00000115310/ENSG00000179242/ENSG00000169252/ENSG00000169946/ENSG00000235387/ENSG00000008086/ENSG00000108557/ENSG00000166224/ENSG00000118785/ENSG00000133104/ENSG00000043591/ENSG00000144560/ENSG00000113645/ENSG00000168610/ENSG00000139318/ENSG00000089057/ENSG00000198742/ENSG00000135346/ENSG00000168214/ENSG00000103528/ENSG00000275410/ENSG00000178568/ENSG00000005810/ENSG00000171517/ENSG00000006652/ENSG00000067715/ENSG00000004848/ENSG00000106541/ENSG00000117152/ENSG00000101665/ENSG00000137693/ENSG00000114251/ENSG00000184349/ENSG00000204406/ENSG00000207725/ENSG00000082701/ENSG00000118260/ENSG00000168389/ENSG00000141385/ENSG00000039068/ENSG00000107779/ENSG00000121879/ENSG00000207935/ENSG00000132932/ENSG00000084073/ENSG00000127603/ENSG00000140718",79,"proliferation",0.341772151898734,"Mixed"
"GO:0001667","ameboidal-type cell migration","64/2235","223/15151",0.286995515695067,1.94553425427112,5.91711414442663,5.39999635363316e-08,1.28148595677026e-05,1.03588719627128e-05,"ENSG00000137801/ENSG00000114019/ENSG00000162733/ENSG00000259207/ENSG00000075223/ENSG00000150347/ENSG00000115353/ENSG00000092421/ENSG00000049130/ENSG00000115414/ENSG00000171444/ENSG00000126016/ENSG00000112902/ENSG00000169554/ENSG00000136160/ENSG00000143507/ENSG00000011426/ENSG00000099250/ENSG00000163513/ENSG00000140285/ENSG00000170558/ENSG00000075213/ENSG00000078401/ENSG00000107104/ENSG00000070087/ENSG00000138685/ENSG00000115170/ENSG00000122691/ENSG00000164093/ENSG00000147459/ENSG00000185950/ENSG00000196405/ENSG00000144724/ENSG00000168615/ENSG00000115310/ENSG00000125398/ENSG00000100644/ENSG00000107796/ENSG00000166224/ENSG00000153233/ENSG00000107372/ENSG00000092969/ENSG00000240583/ENSG00000166974/ENSG00000169398/ENSG00000120063/ENSG00000118257/ENSG00000131016/ENSG00000178568/ENSG00000110880/ENSG00000164690/ENSG00000092871/ENSG00000143398/ENSG00000114251/ENSG00000138829/ENSG00000207725/ENSG00000157764/ENSG00000152661/ENSG00000115109/ENSG00000171132/ENSG00000141646/ENSG00000197122/ENSG00000127603/ENSG00000147257",64,"migration",0.328125,"Mixed"
"GO:0035265","organ growth","50/2235","159/15151",0.314465408805031,2.13175186076288,5.96761854062867,6.75403923678312e-08,1.45308546165041e-05,1.17459939132321e-05,"ENSG00000162733/ENSG00000077092/ENSG00000150457/ENSG00000151718/ENSG00000075426/ENSG00000187955/ENSG00000173068/ENSG00000163513/ENSG00000169083/ENSG00000164442/ENSG00000170312/ENSG00000140285/ENSG00000154556/ENSG00000159167/ENSG00000078401/ENSG00000151320/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000114861/ENSG00000082482/ENSG00000176788/ENSG00000137745/ENSG00000125398/ENSG00000169946/ENSG00000072840/ENSG00000170989/ENSG00000163110/ENSG00000114062/ENSG00000182197/ENSG00000144560/ENSG00000092969/ENSG00000113494/ENSG00000113645/ENSG00000139318/ENSG00000181690/ENSG00000135346/ENSG00000168214/ENSG00000178568/ENSG00000164690/ENSG00000004848/ENSG00000117152/ENSG00000137693/ENSG00000091831/ENSG00000207725/ENSG00000065559/ENSG00000107779/ENSG00000207935/ENSG00000084073/ENSG00000175387",50,"proliferation",0.22,"Downregulated"
"GO:0033002","muscle cell proliferation","58/2235","204/15151",0.284313725490196,1.9273544764662,5.54708602637452,3.17620952265749e-07,5.60346129692239e-05,4.52954929518917e-05,"ENSG00000137801/ENSG00000162733/ENSG00000259207/ENSG00000173334/ENSG00000115353/ENSG00000253729/ENSG00000146674/ENSG00000140416/ENSG00000080986/ENSG00000197442/ENSG00000146648/ENSG00000136244/ENSG00000150782/ENSG00000115415/ENSG00000164442/ENSG00000170312/ENSG00000078401/ENSG00000138685/ENSG00000151748/ENSG00000291237/ENSG00000081189/ENSG00000114861/ENSG00000096968/ENSG00000154188/ENSG00000140945/ENSG00000145675/ENSG00000082482/ENSG00000166478/ENSG00000106809/ENSG00000169946/ENSG00000148737/ENSG00000178607/ENSG00000170989/ENSG00000144560/ENSG00000092969/ENSG00000168036/ENSG00000120063/ENSG00000170962/ENSG00000087245/ENSG00000140443/ENSG00000168214/ENSG00000168811/ENSG00000114030/ENSG00000178568/ENSG00000164690/ENSG00000137693/ENSG00000145794/ENSG00000104415/ENSG00000064989/ENSG00000207725/ENSG00000152661/ENSG00000105971/ENSG00000177606/ENSG00000197122/ENSG00000107779/ENSG00000121879/ENSG00000207935/ENSG00000115252",58,"proliferation",0.327586206896552,"Mixed"
"GO:0050673","epithelial cell proliferation","95/2235","397/15151",0.239294710327456,1.62217188195583,5.2255475718882,6.73775569069883e-07,0.000100202520528342,8.09985528916939e-05,"ENSG00000137801/ENSG00000259207/ENSG00000163235/ENSG00000153071/ENSG00000105974/ENSG00000147862/ENSG00000115353/ENSG00000184304/ENSG00000105810/ENSG00000139618/ENSG00000171444/ENSG00000144810/ENSG00000079385/ENSG00000112902/ENSG00000169554/ENSG00000136160/ENSG00000152894/ENSG00000253729/ENSG00000143507/ENSG00000146674/ENSG00000134013/ENSG00000137764/ENSG00000099250/ENSG00000128052/ENSG00000146648/ENSG00000136244/ENSG00000115415/ENSG00000169083/ENSG00000139292/ENSG00000144802/ENSG00000137573/ENSG00000140285/ENSG00000156535/ENSG00000148925/ENSG00000062038/ENSG00000171951/ENSG00000149295/ENSG00000138685/ENSG00000151748/ENSG00000108691/ENSG00000081189/ENSG00000134363/ENSG00000276644/ENSG00000122691/ENSG00000134250/ENSG00000140945/ENSG00000101384/ENSG00000124813/ENSG00000078098/ENSG00000166949/ENSG00000075711/ENSG00000185950/ENSG00000207971/ENSG00000115310/ENSG00000125398/ENSG00000148737/ENSG00000100644/ENSG00000178607/ENSG00000136997/ENSG00000164252/ENSG00000091136/ENSG00000111728/ENSG00000092969/ENSG00000168036/ENSG00000233276/ENSG00000183779/ENSG00000164434/ENSG00000168610/ENSG00000125266/ENSG00000051382/ENSG00000118257/ENSG00000134371/ENSG00000171552/ENSG00000168214/ENSG00000168811/ENSG00000113578/ENSG00000275410/ENSG00000253008/ENSG00000164690/ENSG00000164751/ENSG00000004848/ENSG00000113140/ENSG00000137693/ENSG00000019549/ENSG00000114251/ENSG00000091831/ENSG00000207725/ENSG00000182585/ENSG00000107798/ENSG00000105971/ENSG00000002745/ENSG00000189403/ENSG00000141564/ENSG00000107779/ENSG00000147257",95,"proliferation",0.305263157894737,"Mixed"
"GO:0043542","endothelial cell migration","60/2235","221/15151",0.271493212669683,1.84044459291202,5.23547852357287,1.10986374832321e-06,0.000143303642697898,0.00011583927850752,"ENSG00000137801/ENSG00000259207/ENSG00000126785/ENSG00000184304/ENSG00000048052/ENSG00000134954/ENSG00000126016/ENSG00000079385/ENSG00000112902/ENSG00000169554/ENSG00000105976/ENSG00000133121/ENSG00000132669/ENSG00000134013/ENSG00000137764/ENSG00000099250/ENSG00000128052/ENSG00000163430/ENSG00000145147/ENSG00000150630/ENSG00000145632/ENSG00000166068/ENSG00000135046/ENSG00000159167/ENSG00000078401/ENSG00000171951/ENSG00000138685/ENSG00000081189/ENSG00000100345/ENSG00000114861/ENSG00000154188/ENSG00000141376/ENSG00000138772/ENSG00000140945/ENSG00000169242/ENSG00000078098/ENSG00000205542/ENSG00000100644/ENSG00000116977/ENSG00000156234/ENSG00000233276/ENSG00000169398/ENSG00000120899/ENSG00000125266/ENSG00000051382/ENSG00000118257/ENSG00000183287/ENSG00000113578/ENSG00000241186/ENSG00000253008/ENSG00000113140/ENSG00000019549/ENSG00000114251/ENSG00000143878/ENSG00000109458/ENSG00000197635/ENSG00000189403/ENSG00000156427/ENSG00000121879/ENSG00000207935",60,"angiogenesis",0.266666666666667,"Downregulated"
"GO:0016049","cell growth","101/2235","442/15151",0.228506787330317,1.54904086570095,4.87309966089695,2.85431893629856e-06,0.000282990082720394,0.000228754596812456,"ENSG00000153071/ENSG00000057019/ENSG00000145349/ENSG00000078018/ENSG00000115414/ENSG00000079385/ENSG00000112902/ENSG00000146674/ENSG00000156299/ENSG00000137764/ENSG00000099250/ENSG00000187955/ENSG00000146648/ENSG00000145147/ENSG00000131711/ENSG00000135919/ENSG00000169330/ENSG00000163513/ENSG00000022267/ENSG00000187079/ENSG00000140009/ENSG00000074800/ENSG00000133083/ENSG00000173166/ENSG00000154556/ENSG00000075213/ENSG00000078401/ENSG00000151320/ENSG00000118515/ENSG00000130147/ENSG00000176697/ENSG00000047936/ENSG00000162998/ENSG00000114861/ENSG00000221866/ENSG00000187164/ENSG00000128829/ENSG00000041982/ENSG00000004468/ENSG00000166949/ENSG00000129682/ENSG00000115310/ENSG00000102221/ENSG00000179242/ENSG00000125398/ENSG00000149177/ENSG00000109846/ENSG00000139174/ENSG00000140557/ENSG00000008086/ENSG00000137845/ENSG00000019485/ENSG00000163110/ENSG00000118785/ENSG00000133104/ENSG00000182197/ENSG00000035403/ENSG00000137575/ENSG00000122641/ENSG00000144560/ENSG00000092969/ENSG00000168036/ENSG00000055163/ENSG00000105887/ENSG00000105176/ENSG00000120899/ENSG00000164823/ENSG00000118257/ENSG00000170017/ENSG00000089057/ENSG00000198742/ENSG00000134371/ENSG00000103528/ENSG00000125848/ENSG00000158321/ENSG00000177189/ENSG00000171517/ENSG00000006652/ENSG00000168243/ENSG00000067715/ENSG00000117152/ENSG00000101665/ENSG00000137693/ENSG00000114251/ENSG00000080503/ENSG00000176390/ENSG00000184349/ENSG00000152661/ENSG00000082701/ENSG00000115109/ENSG00000168389/ENSG00000039068/ENSG00000065559/ENSG00000171603/ENSG00000141646/ENSG00000121864/ENSG00000141564/ENSG00000161055/ENSG00000156239/ENSG00000127603/ENSG00000198087",101,"proliferation",0.346534653465347,"Mixed"
"GO:0048660","regulation of smooth muscle cell proliferation","41/2235","136/15151",0.301470588235294,2.04366035004606,5.08565660505336,3.33178046337798e-06,0.000306735344247497,0.000247949042337269,"ENSG00000137801/ENSG00000162733/ENSG00000259207/ENSG00000173334/ENSG00000115353/ENSG00000253729/ENSG00000146674/ENSG00000140416/ENSG00000197442/ENSG00000146648/ENSG00000136244/ENSG00000150782/ENSG00000115415/ENSG00000078401/ENSG00000138685/ENSG00000291237/ENSG00000081189/ENSG00000114861/ENSG00000096968/ENSG00000140945/ENSG00000145675/ENSG00000166478/ENSG00000106809/ENSG00000148737/ENSG00000178607/ENSG00000170989/ENSG00000168036/ENSG00000120063/ENSG00000170962/ENSG00000087245/ENSG00000140443/ENSG00000168811/ENSG00000104415/ENSG00000064989/ENSG00000207725/ENSG00000152661/ENSG00000177606/ENSG00000197122/ENSG00000107779/ENSG00000121879/ENSG00000115252",41,"proliferation",0.365853658536585,"Mixed"
"GO:0040013","negative regulation of locomotion","77/2235","317/15151",0.242902208201893,1.64662700513059,4.83988891538223,4.19120007394014e-06,0.000362820304908251,0.00029328523376794,"ENSG00000137801/ENSG00000173334/ENSG00000140937/ENSG00000064042/ENSG00000171444/ENSG00000130396/ENSG00000111913/ENSG00000112902/ENSG00000169554/ENSG00000152894/ENSG00000182621/ENSG00000133121/ENSG00000143507/ENSG00000146674/ENSG00000140416/ENSG00000137764/ENSG00000099250/ENSG00000145147/ENSG00000173611/ENSG00000067798/ENSG00000164442/ENSG00000060656/ENSG00000137573/ENSG00000166068/ENSG00000159167/ENSG00000138336/ENSG00000107104/ENSG00000149295/ENSG00000070087/ENSG00000138685/ENSG00000171877/ENSG00000108691/ENSG00000081189/ENSG00000276644/ENSG00000186575/ENSG00000101384/ENSG00000144824/ENSG00000196405/ENSG00000144724/ENSG00000196935/ENSG00000113657/ENSG00000113369/ENSG00000149177/ENSG00000171522/ENSG00000156234/ENSG00000153233/ENSG00000035403/ENSG00000120063/ENSG00000151490/ENSG00000168610/ENSG00000168675/ENSG00000178568/ENSG00000253008/ENSG00000110880/ENSG00000164690/ENSG00000140526/ENSG00000136141/ENSG00000101665/ENSG00000114251/ENSG00000122707/ENSG00000175471/ENSG00000157764/ENSG00000152661/ENSG00000082701/ENSG00000143878/ENSG00000144339/ENSG00000039068/ENSG00000155827/ENSG00000197635/ENSG00000101040/ENSG00000189403/ENSG00000106366/ENSG00000164741/ENSG00000107779/ENSG00000207935/ENSG00000207732/ENSG00000196220",77,"migration",0.25974025974026,"Downregulated"
