"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Shared","GO:0031589","cell-substrate adhesion","75/1631","361/18986",0.207756232686981,2.41843030888719,8.34129412295814,4.15645080462794e-13,2.44233049279938e-09,1.95265683590047e-09,"23499/3491/7412/8394/3915/5212/5581/11037/9448/3987/23332/3694/3655/3685/3680/11170/2042/1295/25890/90102/151887/3693/6480/604/683/22998/3791/10855/255743/81792/133584/1946/6695/2651/4739/7402/10551/3696/1021/8910/3912/4289/80005/59339/284/5747/23189/25/8829/5328/7414/10580/1308/55742/960/5795/7450/8499/23603/342184/302/4091/4088/22801/79834/1009/1012/3690/81/182/54453/7074/4771/2824/8573",75
"Shared","GO:0016055","Wnt signaling pathway","89/1631","476/18986",0.186974789915966,2.17651953485257,7.96928542814559,1.50849734266291e-12,4.43196519274362e-09,3.54338086331818e-09,"10076/23499/55182/7482/81839/79577/6382/9736/129293/9839/130574/9686/27303/9209/8994/7474/166336/51421/5523/25937/23043/59343/3516/5311/4790/2247/23240/9037/1501/55789/324/4163/1456/100113407/1906/7162/2309/84870/7957/2737/1956/9863/857/51384/6469/23213/6788/8323/2131/23189/4300/7091/7088/9314/25/219771/80114/3087/6934/27122/406/154810/100422991/85458/81029/8549/122011/2308/23002/53944/4088/7090/80349/6477/29117/51741/64359/51701/6928/64750/1000/4089/8932/115701/351/7074/10159/4693/2719",89
"Shared","GO:0007163","establishment or maintenance of cell polarity","54/1631","227/18986",0.237885462555066,2.7691559730659,8.22042331238586,3.50538623841368e-12,6.86588317897293e-09,5.48931185334746e-09,"10207/23418/10806/10890/23332/7474/90102/51421/5584/10252/2195/55914/4131/1495/1794/10486/9750/667/10758/2697/9053/10090/9265/6469/79648/286/51571/5747/81704/23189/25/55691/56288/9124/22841/7465/55742/154810/56253/9638/81624/57381/64398/3480/1003/399687/10403/23255/115701/23094/2909/84612/4627/2258",54
"Shared","GO:0007409","axonogenesis","84/1631","459/18986",0.183006535947712,2.13032623636007,7.51497556010483,2.06429257820939e-11,2.13126407882266e-08,1.70395750488795e-08,"23499/1600/23566/5362/55740/10890/9637/6654/1496/3800/1123/8828/8609/4133/2043/27255/22906/7474/6091/2042/214/5062/9353/323/2044/658/8633/23022/9037/7204/4131/64283/1946/26999/1906/5454/2534/3908/10090/26230/2115/2737/26053/10512/10371/223117/4897/5803/91584/6469/4147/2131/5747/4781/4915/25/3799/8829/56288/288/84665/7414/9211/5795/5058/8301/9638/4753/57609/9201/3480/6477/1009/999/4089/2909/84612/1002/351/7074/170302/4693/5063/2258",84
"Shared","GO:0007264","small GTPase-mediated signal transduction","88/1631","491/18986",0.179226069246436,2.08631891521326,7.47637182425986,2.16549402331155e-11,2.13126407882266e-08,1.70395750488795e-08,"2782/65979/1600/8412/10451/79574/5906/23179/7042/57568/25780/10602/6654/55704/10617/9448/390/11069/1123/10787/3685/55619/28512/50650/6091/5337/604/9353/10144/2247/10252/79658/7204/64283/2150/51735/23092/1794/9750/93663/57480/26230/2768/9265/1124/64759/26053/1278/9732/4233/23362/80005/137735/51571/81704/23189/19/79109/25/8829/3988/51196/23075/8301/50937/9743/55200/2059/83892/221178/90627/23348/57381/84952/11214/1012/29/201176/10928/10982/23094/2909/54453/57186/55816/7074/27128/1121",88
"Shared","GO:0045785","positive regulation of cell adhesion","89/1631","499/18986",0.178356713426854,2.07619899516998,7.46843501922605,2.17623969927433e-11,2.13126407882266e-08,1.70395750488795e-08,"2475/10076/3716/3491/7412/10451/79679/22920/8995/7292/3915/5788/7042/11221/5212/5581/9448/3987/406915/1803/3655/3685/940/2043/55193/7474/1295/25890/11148/151887/3592/86/604/3791/5530/255743/4651/3575/133584/84466/8728/2651/4739/9308/2309/2534/3908/7402/57492/9265/10551/3569/2737/1021/3912/857/5420/6469/80005/3084/59339/284/51571/81704/6595/80380/6461/301/25/8829/288/960/5795/8772/3606/2113/3356/342184/84978/7168/4088/29117/1012/6347/3690/5578/970/54453/861",89
"Shared","GO:0030111","regulation of Wnt signaling pathway","69/1631","349/18986",0.197707736389685,2.30145866529403,7.5227228588691,3.90447934124652e-11,3.0399032844092e-08,2.43041961203795e-08,"10076/23499/55182/79577/9736/129293/9839/130574/9686/27303/8994/7474/5523/25937/59343/3516/4790/2247/23240/9037/1501/55789/324/4163/1456/100113407/7162/2309/84870/2737/1956/857/6469/23213/6788/8323/23189/4300/7091/7088/25/219771/80114/3087/6934/27122/406/100422991/85458/81029/8549/122011/2308/53944/4088/7090/51741/64359/51701/6928/64750/1000/4089/8932/115701/351/7074/10159/2719",69
"Shared","GO:0007160","cell-matrix adhesion","54/1631","241/18986",0.224066390041494,2.60829214060564,7.70283705262468,4.13873830416501e-11,3.0399032844092e-08,2.43041961203795e-08,"23499/7412/8394/11037/9448/3987/23332/3694/3655/3685/3680/11170/2042/90102/3693/604/683/22998/3791/10855/255743/81792/1946/7402/3696/1021/8910/4289/59339/5747/25/8829/5328/7414/10580/1308/960/5795/8499/23603/342184/302/4088/22801/79834/1009/1012/3690/182/54453/7074/4771/2824/8573",54
"Shared","GO:0030010","establishment of cell polarity","42/1631","164/18986",0.25609756097561,2.98115775149168,7.81138547352122,7.32339737167704e-11,4.62277525143105e-08,3.69593456829508e-08,"10207/23418/10806/10890/23332/7474/90102/51421/5584/10252/2195/4131/1794/9750/10758/2697/10090/9265/6469/79648/51571/5747/81704/23189/25/55691/56288/22841/7465/154810/56253/9638/81624/57381/3480/1003/399687/10403/115701/23094/4627/2258",42
"Shared","GO:0060537","muscle tissue development","81/1631","447/18986",0.181208053691275,2.10939062377839,7.27637499300933,7.86721451911343e-11,4.62277525143105e-08,3.69593456829508e-08,"2475/59269/1301/5999/467/3776/7042/10472/2355/51542/10791/4036/1134/2660/9686/9975/5915/2317/27086/4638/3516/5156/84525/5311/5530/2247/57486/4208/84466/6444/1906/3720/221662/221496/7021/1310/64208/9474/2697/23345/9734/10512/857/136319/6469/3084/23414/7373/406987/25/10529/6840/657/7093/406/55553/50937/688/9472/8854/7168/4088/11214/124872/3131/8736/4729/2627/80206/4089/8932/115701/56261/57158/2139/1827/861/9215/1756/407007/7547",81
