"ID","Description","GeneRatio","pvalue","p.adjust","qvalue","Count","pathway_category","target_group","GeneRatio_numeric"
"GO:0048638","regulation of developmental growth","79/2235",5.22920406788121e-08,1.28148595677026e-05,1.03588719627128e-05,79,"proliferation","TES-only",0.0353467561521253
"GO:0001667","ameboidal-type cell migration","64/2235",5.39999635363316e-08,1.28148595677026e-05,1.03588719627128e-05,64,"migration","TES-only",0.0286353467561521
"GO:0035265","organ growth","50/2235",6.75403923678312e-08,1.45308546165041e-05,1.17459939132321e-05,50,"proliferation","TES-only",0.0223713646532438
"GO:0033002","muscle cell proliferation","58/2235",3.17620952265749e-07,5.60346129692239e-05,4.52954929518917e-05,58,"proliferation","TES-only",0.0259507829977629
"GO:0050673","epithelial cell proliferation","95/2235",6.73775569069883e-07,0.000100202520528342,8.09985528916939e-05,95,"proliferation","TES-only",0.0425055928411633
"GO:0043542","endothelial cell migration","60/2235",1.10986374832321e-06,0.000143303642697898,0.00011583927850752,60,"migration","TES-only",0.0268456375838926
"GO:0016049","cell growth","101/2235",2.85431893629856e-06,0.000282990082720394,0.000228754596812456,101,"proliferation","TES-only",0.0451901565995526
"GO:0048660","regulation of smooth muscle cell proliferation","41/2235",3.33178046337798e-06,0.000306735344247497,0.000247949042337269,41,"proliferation","TES-only",0.01834451901566
"GO:0040013","negative regulation of locomotion","77/2235",4.19120007394014e-06,0.000362820304908251,0.00029328523376794,77,"migration","TES-only",0.0344519015659955
"GO:0010595","positive regulation of endothelial cell migration","35/2235",4.48935632677038e-06,0.000366736150637581,0.000296450601622465,35,"migration","TES-only",0.0156599552572707
"GO:0006935","chemotaxis","84/2235",5.29606910477949e-06,0.000400847670468027,0.00032402459605528,84,"migration","TES-only",0.0375838926174497
"GO:0006929","substrate-dependent cell migration","14/2235",6.65469759061807e-06,0.00047722498868495,0.000385764083412481,14,"migration","TES-only",0.00626398210290828
"GO:0050921","positive regulation of chemotaxis","37/2235",6.85277285442726e-06,0.00048332740530574,0.000390696962474004,37,"migration","TES-only",0.0165548098434004
"GO:0030336","negative regulation of cell migration","71/2235",7.32428884209679e-06,0.000487682934572171,0.000394217747837468,71,"migration","TES-only",0.0317673378076063
"GO:0048659","smooth muscle cell proliferation","41/2235",7.39932728316397e-06,0.000487682934572171,0.000394217747837468,41,"proliferation","TES-only",0.01834451901566
"GO:0007173","epidermal growth factor receptor signaling pathway","34/2235",7.92936736960675e-06,0.000516745289255271,0.000417710257412519,34,"proliferation","TES-only",0.0152125279642058
"GO:0010632","regulation of epithelial cell migration","24/2235",8.46330668351549e-06,0.00053464562363245,0.000432179965092365,24,"migration","TES-only",0.010738255033557
"GO:0010631","epithelial cell migration","30/2235",1.23000686411703e-05,0.000706340575433541,0.000570969314515606,30,"migration","TES-only",0.0134228187919463
"GO:0050920","regulation of chemotaxis","48/2235",1.31191357536316e-05,0.000745990072265327,0.000603019924114295,48,"migration","TES-only",0.0214765100671141
"GO:0014909","smooth muscle cell migration","25/2235",1.45143694542584e-05,0.000801746122235228,0.00064809024109541,25,"migration","TES-only",0.0111856823266219
"GO:0001764","neuron migration","45/2235",1.4767861693631e-05,0.000808052809651507,0.000653188242139349,45,"migration","TES-only",0.0201342281879195
"GO:2000146","negative regulation of cell motility","72/2235",1.49110040988845e-05,0.000808260035266639,0.000653355752645664,72,"migration","TES-only",0.0322147651006711
"GO:0010594","regulation of endothelial cell migration","47/2235",1.52663978273515e-05,0.000817995804969565,0.000661225647066142,47,"migration","TES-only",0.0210290827740492
"GO:0014812","muscle cell migration","28/2235",1.91882108955125e-05,0.00096775324516498,0.000782281842824831,28,"migration","TES-only",0.0125279642058166
"GO:0090132","epithelium migration","30/2235",1.97448947791827e-05,0.000987244738959135,0.000798037761764789,30,"migration","TES-only",0.0134228187919463
"GO:0014910","regulation of smooth muscle cell migration","23/2235",2.16448798787531e-05,0.00104616919413973,0.000845669254210231,23,"migration","TES-only",0.0102908277404922
"GO:0090130","tissue migration","31/2235",2.20847317291211e-05,0.00105860697544547,0.000855723315541585,31,"migration","TES-only",0.0138702460850112
"GO:0048661","positive regulation of smooth muscle cell proliferation","28/2235",2.44902328258065e-05,0.00114128408270429,0.000922555227652434,28,"proliferation","TES-only",0.0125279642058166
"GO:0071559","response to transforming growth factor beta","64/2235",2.48080747094517e-05,0.00114195899456206,0.000923100791611511,64,"proliferation","TES-only",0.0286353467561521
"GO:0072089","stem cell proliferation","33/2235",2.64756738385849e-05,0.00120397150140957,0.000973228505858116,33,"proliferation","TES-only",0.0147651006711409
"GO:0060560","developmental growth involved in morphogenesis","56/2235",2.65704055483491e-05,0.00120397150140957,0.000973228505858116,56,"proliferation","TES-only",0.0250559284116331
"GO:0071560","cellular response to transforming growth factor beta stimulus","62/2235",4.34781464904176e-05,0.00176247057115165,0.00142469036731569,62,"proliferation","TES-only",0.0277404921700224
"GO:0050678","regulation of epithelial cell proliferation","76/2235",4.40777013346686e-05,0.00176310805338675,0.00142520567509702,76,"proliferation","TES-only",0.0340044742729307
"GO:0090287","regulation of cellular response to growth factor stimulus","71/2235",4.92298986558055e-05,0.00187851700731495,0.00151849632496929,71,"proliferation","TES-only",0.0317673378076063
"GO:0002053","positive regulation of mesenchymal cell proliferation","12/2235",4.92301008813572e-05,0.00187851700731495,0.00151849632496929,12,"proliferation","TES-only",0.00536912751677852
"GO:0048588","developmental cell growth","53/2235",5.58405356208954e-05,0.00201187962622027,0.0016262997922296,53,"proliferation","TES-only",0.0237136465324385
"GO:0060326","cell chemotaxis","58/2235",5.58470034174937e-05,0.00201187962622027,0.0016262997922296,58,"migration","TES-only",0.0259507829977629
"GO:2001026","regulation of endothelial cell chemotaxis","10/2235",6.70088677103989e-05,0.00232725408814559,0.0018812322520146,10,"migration","TES-only",0.00447427293064877
"GO:0045926","negative regulation of growth","51/2235",7.64173828032573e-05,0.00257686523406333,0.00208300503675464,51,"proliferation","TES-only",0.0228187919463087
"GO:0060419","heart growth","26/2235",7.81291220425899e-05,0.00260430406808633,0.00210518517590862,26,"proliferation","TES-only",0.0116331096196868
"GO:0060420","regulation of heart growth","21/2235",0.000100287100394747,0.00318508466103841,0.00257465827228042,21,"proliferation","TES-only",0.00939597315436242
"GO:0072091","regulation of stem cell proliferation","25/2235",0.000110297105511591,0.00345796330793095,0.00279523930553983,25,"proliferation","TES-only",0.0111856823266219
"GO:0055017","cardiac muscle tissue growth","24/2235",0.000123672772109966,0.00373594832415522,0.00301994806457121,24,"proliferation","TES-only",0.010738255033557
"GO:0035767","endothelial cell chemotaxis","12/2235",0.000131896737842259,0.00392308245889796,0.00317121765370808,12,"migration","TES-only",0.00536912751677852
"GO:0001558","regulation of cell growth","80/2235",0.000212258861648181,0.00559333366512272,0.0045213626396473,80,"proliferation","TES-only",0.0357941834451902
"GO:0014855","striated muscle cell proliferation","23/2235",0.000220131472965564,0.00575118262702825,0.00464895960449797,23,"proliferation","TES-only",0.0102908277404922
"GO:0010464","regulation of mesenchymal cell proliferation","13/2235",0.000228883406087664,0.00592644533619845,0.00479063294508673,13,"proliferation","TES-only",0.0058165548098434
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","73/2235",0.000255768412645862,0.00642189088028571,0.00519112558635074,73,"proliferation","TES-only",0.032662192393736
"GO:0055021","regulation of cardiac muscle tissue growth","19/2235",0.000263051366026015,0.00655305003915879,0.00529714789009315,19,"proliferation","TES-only",0.00850111856823266
"GO:0060736","prostate gland growth","7/2235",0.000287335920516539,0.00706164550422003,0.00570827024969075,7,"proliferation","TES-only",0.00313199105145414
"GO:0010763","positive regulation of fibroblast migration","8/2235",0.000288661901874065,0.00706429970831045,0.00571041577147273,8,"migration","TES-only",0.00357941834451902
"GO:0010463","mesenchymal cell proliferation","15/2235",0.000336601473316456,0.00788554785298253,0.00637427044232018,15,"proliferation","TES-only",0.00671140939597315
"GO:0097191","extrinsic apoptotic signaling pathway","51/2235",0.000346200585925317,0.00793661422279382,0.00641554986357961,51,"apoptosis","TES-only",0.0228187919463087
"GO:0014912","negative regulation of smooth muscle cell migration","10/2235",0.000353257542124817,0.00806651080442495,0.00652055156495621,10,"migration","TES-only",0.00447427293064877
"GO:0010761","fibroblast migration","18/2235",0.000373575814737765,0.00836579044586501,0.00676247380143062,18,"migration","TES-only",0.00805369127516779
"GO:0046620","regulation of organ growth","26/2235",0.000415401462382563,0.00892343882155136,0.00721324800566057,26,"proliferation","TES-only",0.0116331096196868
"GO:0010634","positive regulation of epithelial cell migration","16/2235",0.000435003279149593,0.00927580521716045,0.00749808283797325,16,"migration","TES-only",0.00715883668903803
"GO:0055023","positive regulation of cardiac muscle tissue growth","12/2235",0.000461128318752401,0.00972561545005065,0.00786168624583041,12,"proliferation","TES-only",0.00536912751677852
"GO:0060421","positive regulation of heart growth","13/2235",0.000476969907254273,0.00988495995907917,0.00799049213389086,13,"proliferation","TES-only",0.0058165548098434
"GO:0090497","mesenchymal cell migration","18/2235",0.000484022177306635,0.00988495995907917,0.00799049213389086,18,"migration","TES-only",0.00805369127516779
"GO:0010762","regulation of fibroblast migration","14/2235",0.000650384461433596,0.0124086509089305,0.010030513820032,14,"migration","TES-only",0.00626398210290828
"GO:0048639","positive regulation of developmental growth","38/2235",0.000775350242687417,0.0141054319000639,0.011402104116676,38,"proliferation","TES-only",0.0170022371364653
"GO:0060043","regulation of cardiac muscle cell proliferation","14/2235",0.000878374746616929,0.0151733597568126,0.0122653619522402,14,"proliferation","TES-only",0.00626398210290828
"GO:0001755","neural crest cell migration","17/2235",0.000884240620310803,0.0151733597568126,0.0122653619522402,17,"migration","TES-only",0.00760626398210291
"GO:0003416","endochondral bone growth","11/2235",0.000927989427903565,0.0158771052561672,0.0128342335410106,11,"proliferation","TES-only",0.00492170022371365
"GO:0050680","negative regulation of epithelial cell proliferation","34/2235",0.000975509931063427,0.0165844557134577,0.0134060191919674,34,"proliferation","TES-only",0.0152125279642058
"GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","25/2235",0.00100014679825499,0.0166213508019453,0.0134358432798302,25,"apoptosis","TES-only",0.0111856823266219
"GO:0045927","positive regulation of growth","52/2235",0.00110230302495312,0.0179588695076632,0.0145170244622744,52,"proliferation","TES-only",0.0232662192393736
"GO:2001028","positive regulation of endothelial cell chemotaxis","7/2235",0.00113783548903194,0.0184342062468862,0.0149012621821472,7,"migration","TES-only",0.00313199105145414
"GO:2001236","regulation of extrinsic apoptotic signaling pathway","36/2235",0.00121453901280778,0.0194594648460915,0.0157300283891999,36,"apoptosis","TES-only",0.0161073825503356
"GO:2001054","negative regulation of mesenchymal cell apoptotic process","6/2235",0.00125783217077529,0.0198527093791934,0.0160479070008943,6,"apoptosis","TES-only",0.00268456375838926
"GO:0030595","leukocyte chemotaxis","41/2235",0.00130603835238318,0.0202239959775013,0.0163480359498713,41,"migration","TES-only",0.01834451901566
"GO:0050918","positive chemotaxis","17/2235",0.00142006943309954,0.0215612636439197,0.017429014205085,17,"migration","TES-only",0.00760626398210291
"GO:0050919","negative chemotaxis","14/2235",0.00153876067126898,0.0227938295598607,0.0184253569618184,14,"migration","TES-only",0.00626398210290828
"GO:0040014","regulation of multicellular organism growth","18/2235",0.0015574637331412,0.0228113375056034,0.0184395094827509,18,"proliferation","TES-only",0.00805369127516779
"GO:0002690","positive regulation of leukocyte chemotaxis","22/2235",0.00157804663691257,0.0229966595328967,0.0185893142576265,22,"migration","TES-only",0.00984340044742729
"GO:0030308","negative regulation of cell growth","37/2235",0.00171405709173729,0.0246688117421248,0.0199409959164109,37,"proliferation","TES-only",0.0165548098434004
"GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","20/2235",0.00176386401002953,0.0253228001439884,0.0204696464321822,20,"proliferation","TES-only",0.00894854586129754
"GO:2001222","regulation of neuron migration","15/2235",0.00179703346462003,0.0256088306997449,0.0207008587906831,15,"migration","TES-only",0.00671140939597315
"GO:1902807","negative regulation of cell cycle G1/S phase transition","21/2235",0.00183531036274972,0.0260901963332068,0.0210899699579135,21,"proliferation","TES-only",0.00939597315436242
"GO:0060045","positive regulation of cardiac muscle cell proliferation","10/2235",0.00186472605223333,0.0263790514706179,0.0213234655626374,10,"proliferation","TES-only",0.00447427293064877
"GO:0043536","positive regulation of blood vessel endothelial cell migration","18/2235",0.00192321399276449,0.0268786533928531,0.0217273180057655,18,"migration","TES-only",0.00805369127516779
"GO:0002688","regulation of leukocyte chemotaxis","27/2235",0.00193427645072398,0.0269682774379786,0.0217997654643841,27,"migration","TES-only",0.0120805369127517
"GO:0097529","myeloid leukocyte migration","41/2235",0.00206123567577581,0.028262805956264,0.0228461955951361,41,"migration","TES-only",0.01834451901566
"GO:0048640","negative regulation of developmental growth","25/2235",0.00228491712021764,0.0306073584557693,0.0247414109912879,25,"proliferation","TES-only",0.0111856823266219
"GO:0002052","positive regulation of neuroblast proliferation","12/2235",0.0023894918690519,0.0315126724521039,0.0254732201636426,12,"proliferation","TES-only",0.00536912751677852
"GO:0098868","bone growth","11/2235",0.00254412599614529,0.0328639883689147,0.0265655543003895,11,"proliferation","TES-only",0.00492170022371365
"GO:0032943","mononuclear cell proliferation","54/2235",0.00257929804221957,0.0332442858774967,0.0268729672047859,54,"proliferation","TES-only",0.0241610738255034
"GO:0002687","positive regulation of leukocyte migration","31/2235",0.00270015306869542,0.034268901090664,0.0277012133317273,31,"migration","TES-only",0.0138702460850112
"GO:0008347","glial cell migration","17/2235",0.00272035145937169,0.0343000836181648,0.0277264196797289,17,"migration","TES-only",0.00760626398210291
"GO:0043534","blood vessel endothelial cell migration","31/2235",0.00307049885197712,0.037492407034668,0.0303069293888223,31,"migration","TES-only",0.0138702460850112
"GO:0050679","positive regulation of epithelial cell proliferation","41/2235",0.00316959496959653,0.0381403544059334,0.0308306966468289,41,"proliferation","TES-only",0.01834451901566
"GO:0097152","mesenchymal cell apoptotic process","7/2235",0.00325433207375119,0.0387579589892339,0.0313299363589924,7,"apoptosis","TES-only",0.00313199105145414
"GO:0071621","granulocyte chemotaxis","23/2235",0.00367776409463324,0.0416078381216502,0.0336336317593158,23,"migration","TES-only",0.0102908277404922
"GO:0048145","regulation of fibroblast proliferation","22/2235",0.00369448907459481,0.0416078381216502,0.0336336317593158,22,"proliferation","TES-only",0.00984340044742729
"GO:0014856","skeletal muscle cell proliferation","9/2235",0.00373945018793053,0.0419512787040562,0.0339112514242952,9,"proliferation","TES-only",0.00402684563758389
"GO:0046622","positive regulation of organ growth","14/2235",0.00410565233414159,0.0455527454989203,0.0368224915521217,14,"proliferation","TES-only",0.00626398210290828
"GO:0043277","apoptotic cell clearance","12/2235",0.00410760101654057,0.0455527454989203,0.0368224915521217,12,"apoptosis","TES-only",0.00536912751677852
"GO:0010421","hydrogen peroxide-mediated programmed cell death","6/2235",0.00424317863486385,0.0464347850607742,0.0375354868712683,6,"apoptosis","TES-only",0.00268456375838926
"GO:0007179","transforming growth factor beta receptor signaling pathway","45/2235",0.00464120198012849,0.0493021455764564,0.0398533133207871,45,"proliferation","TES-only",0.0201342281879195
"GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation","13/2235",0.00467009325939546,0.0493379615746697,0.0398822651276913,13,"proliferation","TES-only",0.0058165548098434
"GO:0048008","platelet-derived growth factor receptor signaling pathway","16/2235",0.00470107883716411,0.0495750131919125,0.0400738854368018,16,"proliferation","TES-only",0.00715883668903803
"GO:0032946","positive regulation of mononuclear cell proliferation","29/2235",0.00543375567214232,0.0546375249934033,0.0441661590418545,29,"proliferation","TES-only",0.0129753914988814
"GO:0060038","cardiac muscle cell proliferation","15/2235",0.00545433223641044,0.0546375249934033,0.0441661590418545,15,"proliferation","TES-only",0.00671140939597315
"GO:0035264","multicellular organism growth","34/2235",0.00550252610843481,0.0549305532339447,0.0444030279680562,34,"proliferation","TES-only",0.0152125279642058
"GO:0070661","leukocyte proliferation","57/2235",0.00588569451495571,0.0580022323850654,0.0468860150713396,57,"proliferation","TES-only",0.025503355704698
"GO:0043535","regulation of blood vessel endothelial cell migration","25/2235",0.00625162162177349,0.0608379285340373,0.0491782456788752,25,"migration","TES-only",0.0111856823266219
"GO:0048144","fibroblast proliferation","25/2235",0.00625162162177349,0.0608379285340373,0.0491782456788752,25,"proliferation","TES-only",0.0111856823266219
"GO:0051402","neuron apoptotic process","57/2235",0.00635486570718584,0.061739063821906,0.0499066769986877,57,"apoptosis","TES-only",0.025503355704698
"GO:0097530","granulocyte migration","26/2235",0.00688268341729603,0.0636699963775661,0.0514675433513029,26,"migration","TES-only",0.0116331096196868
"GO:0097468","programmed cell death in response to reactive oxygen species","6/2235",0.00690490133129122,0.0636699963775661,0.0514675433513029,6,"apoptosis","TES-only",0.00268456375838926
"GO:2001053","regulation of mesenchymal cell apoptotic process","6/2235",0.00690490133129122,0.0636699963775661,0.0514675433513029,6,"apoptosis","TES-only",0.00268456375838926
"GO:0050900","leukocyte migration","63/2235",0.0069177244100575,0.0636869866322754,0.0514812773974872,63,"migration","TES-only",0.0281879194630872
"GO:2001233","regulation of apoptotic signaling pathway","71/2235",0.0069399422208079,0.063790277148472,0.0515647721269137,71,"apoptosis","TES-only",0.0317673378076063
"GO:1904705","regulation of vascular associated smooth muscle cell proliferation","17/2235",0.00699062470133269,0.064053117326587,0.0517772385794226,17,"proliferation","TES-only",0.00760626398210291
"GO:0090288","negative regulation of cellular response to growth factor stimulus","25/2235",0.00712642260750831,0.0641820669620314,0.0518814748183099,25,"proliferation","TES-only",0.0111856823266219
"GO:0010633","negative regulation of epithelial cell migration","7/2235",0.00751342447929752,0.0665310869922528,0.0537803015360243,7,"migration","TES-only",0.00313199105145414
"GO:2000811","negative regulation of anoikis","7/2235",0.00751342447929752,0.0665310869922528,0.0537803015360243,7,"apoptosis","TES-only",0.00313199105145414
"GO:0061387","regulation of extent of cell growth","23/2235",0.00758450773100922,0.0667356572002632,0.0539456655480894,23,"proliferation","TES-only",0.0102908277404922
"GO:0043616","keratinocyte proliferation","14/2235",0.00773251646063486,0.0677471230690064,0.0547632824227503,14,"proliferation","TES-only",0.00626398210290828
"GO:0014009","glial cell proliferation","15/2235",0.00802796053997256,0.070018302453896,0.0565991867748916,15,"proliferation","TES-only",0.00671140939597315
"GO:2000648","positive regulation of stem cell proliferation","13/2235",0.00898850014894198,0.0757751466044528,0.0612527228632001,13,"proliferation","TES-only",0.0058165548098434
"GO:0046651","lymphocyte proliferation","50/2235",0.00962195335255438,0.0788167314851183,0.063711383309386,50,"proliferation","TES-only",0.0223713646532438
"GO:1990874","vascular associated smooth muscle cell proliferation","17/2235",0.00977248824747311,0.0798315210768532,0.0645316869104,17,"proliferation","TES-only",0.00760626398210291
"GO:0030307","positive regulation of cell growth","33/2235",0.00978624335959355,0.0798315210768532,0.0645316869104,33,"proliferation","TES-only",0.0147651006711409
"GO:0003417","growth plate cartilage development","7/2235",0.010752648154282,0.0849664295569967,0.0686824822589589,7,"proliferation","TES-only",0.00313199105145414
"GO:0071622","regulation of granulocyte chemotaxis","13/2235",0.0109721570737047,0.0858819312111839,0.0694225266088227,13,"migration","TES-only",0.0058165548098434
"GO:0001935","endothelial cell proliferation","34/2235",0.0112944553211238,0.0876065210791852,0.0708165961681835,34,"proliferation","TES-only",0.0152125279642058
"GO:0043524","negative regulation of neuron apoptotic process","34/2235",0.0124288039202317,0.0953949953435048,0.0771123973248585,34,"apoptosis","TES-only",0.0152125279642058
"GO:0043523","regulation of neuron apoptotic process","47/2235",0.0124342442206361,0.0953949953435048,0.0771123973248585,47,"apoptosis","TES-only",0.0210290827740492
"GO:0050671","positive regulation of lymphocyte proliferation","27/2235",0.0133444988772705,0.101041897504137,0.0816770619752131,27,"proliferation","TES-only",0.0120805369127517
"GO:0060252","positive regulation of glial cell proliferation","8/2235",0.0137335128679094,0.102090738768882,0.0825248911935752,8,"proliferation","TES-only",0.00357941834451902
