"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","pathway_category","target_group"
"GO:0048638","regulation of developmental growth","72/1739","296/15151",0.243243243243243,2.11925151143092,7.00239414014646,3.23446910579003e-10,2.03915307847251e-07,1.63425807450444e-07,"ENSG00000150457/ENSG00000151718/ENSG00000078018/ENSG00000115414/ENSG00000112902/ENSG00000182621/ENSG00000075426/ENSG00000143507/ENSG00000171476/ENSG00000099250/ENSG00000187955/ENSG00000131711/ENSG00000169083/ENSG00000164442/ENSG00000170312/ENSG00000075213/ENSG00000078401/ENSG00000151320/ENSG00000149295/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000184371/ENSG00000114861/ENSG00000221866/ENSG00000187164/ENSG00000082482/ENSG00000113739/ENSG00000120756/ENSG00000129682/ENSG00000176788/ENSG00000115310/ENSG00000179242/ENSG00000169946/ENSG00000235387/ENSG00000008086/ENSG00000108557/ENSG00000166224/ENSG00000118785/ENSG00000133104/ENSG00000043591/ENSG00000144560/ENSG00000113645/ENSG00000168610/ENSG00000139318/ENSG00000198742/ENSG00000135346/ENSG00000168214/ENSG00000275410/ENSG00000178568/ENSG00000171517/ENSG00000006652/ENSG00000067715/ENSG00000004848/ENSG00000106541/ENSG00000117152/ENSG00000101665/ENSG00000137693/ENSG00000114251/ENSG00000184349/ENSG00000207725/ENSG00000082701/ENSG00000118260/ENSG00000168389/ENSG00000141385/ENSG00000039068/ENSG00000107779/ENSG00000207935/ENSG00000132932/ENSG00000084073/ENSG00000127603/ENSG00000140718",72,"proliferation","Shared"
"GO:0035265","organ growth","45/1739","159/15151",0.283018867924528,2.46579578374038,6.69039221720927,5.11119270394732e-09,1.70593572954101e-06,1.36720448799086e-06,"ENSG00000162733/ENSG00000077092/ENSG00000150457/ENSG00000151718/ENSG00000075426/ENSG00000187955/ENSG00000173068/ENSG00000163513/ENSG00000169083/ENSG00000164442/ENSG00000170312/ENSG00000140285/ENSG00000154556/ENSG00000159167/ENSG00000078401/ENSG00000151320/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000114861/ENSG00000082482/ENSG00000176788/ENSG00000137745/ENSG00000169946/ENSG00000072840/ENSG00000163110/ENSG00000182197/ENSG00000144560/ENSG00000092969/ENSG00000113494/ENSG00000113645/ENSG00000139318/ENSG00000181690/ENSG00000135346/ENSG00000168214/ENSG00000178568/ENSG00000164690/ENSG00000004848/ENSG00000117152/ENSG00000137693/ENSG00000091831/ENSG00000207725/ENSG00000107779/ENSG00000207935/ENSG00000084073",45,"proliferation","Shared"
"GO:0040013","negative regulation of locomotion","70/1739","317/15151",0.220820189274448,1.92389113726116,5.9859161613559,4.1619985397335e-08,9.44607188577916e-06,7.57045629122052e-06,"ENSG00000137801/ENSG00000173334/ENSG00000140937/ENSG00000064042/ENSG00000171444/ENSG00000111913/ENSG00000112902/ENSG00000169554/ENSG00000152894/ENSG00000182621/ENSG00000133121/ENSG00000143507/ENSG00000146674/ENSG00000140416/ENSG00000137764/ENSG00000099250/ENSG00000145147/ENSG00000067798/ENSG00000164442/ENSG00000060656/ENSG00000137573/ENSG00000166068/ENSG00000159167/ENSG00000138336/ENSG00000107104/ENSG00000149295/ENSG00000070087/ENSG00000138685/ENSG00000171877/ENSG00000108691/ENSG00000081189/ENSG00000276644/ENSG00000186575/ENSG00000101384/ENSG00000144824/ENSG00000196405/ENSG00000144724/ENSG00000196935/ENSG00000113657/ENSG00000149177/ENSG00000156234/ENSG00000153233/ENSG00000035403/ENSG00000120063/ENSG00000151490/ENSG00000168610/ENSG00000168675/ENSG00000178568/ENSG00000253008/ENSG00000110880/ENSG00000164690/ENSG00000140526/ENSG00000136141/ENSG00000101665/ENSG00000114251/ENSG00000122707/ENSG00000175471/ENSG00000152661/ENSG00000082701/ENSG00000143878/ENSG00000144339/ENSG00000039068/ENSG00000197635/ENSG00000101040/ENSG00000189403/ENSG00000106366/ENSG00000164741/ENSG00000107779/ENSG00000207935/ENSG00000196220",70,"migration","Shared"
"GO:0001667","ameboidal-type cell migration","54/1739","223/15151",0.242152466367713,2.10974814142451,6.01153499645537,6.16373434478698e-08,1.09290714601004e-05,8.75899091101307e-06,"ENSG00000137801/ENSG00000114019/ENSG00000162733/ENSG00000259207/ENSG00000075223/ENSG00000150347/ENSG00000115353/ENSG00000092421/ENSG00000049130/ENSG00000115414/ENSG00000171444/ENSG00000126016/ENSG00000112902/ENSG00000169554/ENSG00000143507/ENSG00000011426/ENSG00000099250/ENSG00000163513/ENSG00000140285/ENSG00000170558/ENSG00000075213/ENSG00000078401/ENSG00000107104/ENSG00000070087/ENSG00000138685/ENSG00000115170/ENSG00000164093/ENSG00000147459/ENSG00000185950/ENSG00000196405/ENSG00000144724/ENSG00000168615/ENSG00000115310/ENSG00000166224/ENSG00000153233/ENSG00000107372/ENSG00000092969/ENSG00000166974/ENSG00000169398/ENSG00000120063/ENSG00000118257/ENSG00000178568/ENSG00000110880/ENSG00000164690/ENSG00000092871/ENSG00000143398/ENSG00000114251/ENSG00000207725/ENSG00000152661/ENSG00000115109/ENSG00000171132/ENSG00000141646/ENSG00000127603/ENSG00000147257",54,"migration","Shared"
"GO:0030336","negative regulation of cell migration","65/1739","290/15151",0.224137931034483,1.95279689080129,5.8990849212802,7.00382291284523e-08,1.16881444727894e-05,9.36734210015213e-06,"ENSG00000137801/ENSG00000173334/ENSG00000140937/ENSG00000064042/ENSG00000171444/ENSG00000111913/ENSG00000169554/ENSG00000152894/ENSG00000182621/ENSG00000133121/ENSG00000143507/ENSG00000146674/ENSG00000140416/ENSG00000137764/ENSG00000145147/ENSG00000067798/ENSG00000164442/ENSG00000060656/ENSG00000137573/ENSG00000166068/ENSG00000159167/ENSG00000138336/ENSG00000107104/ENSG00000149295/ENSG00000070087/ENSG00000138685/ENSG00000108691/ENSG00000081189/ENSG00000276644/ENSG00000186575/ENSG00000101384/ENSG00000144824/ENSG00000196405/ENSG00000144724/ENSG00000196935/ENSG00000113657/ENSG00000149177/ENSG00000156234/ENSG00000153233/ENSG00000035403/ENSG00000120063/ENSG00000168610/ENSG00000168675/ENSG00000178568/ENSG00000253008/ENSG00000110880/ENSG00000164690/ENSG00000140526/ENSG00000136141/ENSG00000101665/ENSG00000122707/ENSG00000175471/ENSG00000152661/ENSG00000082701/ENSG00000143878/ENSG00000144339/ENSG00000039068/ENSG00000197635/ENSG00000101040/ENSG00000189403/ENSG00000106366/ENSG00000164741/ENSG00000107779/ENSG00000207935/ENSG00000196220",65,"migration","Shared"
"GO:0006935","chemotaxis","75/1739","356/15151",0.210674157303371,1.83549405250338,5.74407645691617,1.08198903760577e-07,1.65924481064193e-05,1.32978453554962e-05,"ENSG00000137801/ENSG00000259207/ENSG00000197702/ENSG00000142871/ENSG00000075223/ENSG00000124126/ENSG00000182168/ENSG00000162692/ENSG00000092421/ENSG00000184304/ENSG00000126016/ENSG00000111913/ENSG00000112902/ENSG00000105976/ENSG00000156299/ENSG00000177119/ENSG00000099250/ENSG00000128052/ENSG00000136244/ENSG00000145147/ENSG00000150630/ENSG00000140285/ENSG00000135046/ENSG00000184588/ENSG00000170293/ENSG00000143669/ENSG00000075213/ENSG00000078401/ENSG00000171951/ENSG00000138685/ENSG00000108691/ENSG00000184371/ENSG00000154188/ENSG00000221866/ENSG00000140945/ENSG00000128512/ENSG00000134516/ENSG00000166949/ENSG00000172939/ENSG00000205542/ENSG00000149177/ENSG00000137845/ENSG00000133789/ENSG00000164251/ENSG00000122861/ENSG00000156234/ENSG00000092969/ENSG00000169398/ENSG00000120899/ENSG00000151490/ENSG00000153551/ENSG00000051382/ENSG00000118257/ENSG00000170962/ENSG00000153310/ENSG00000138135/ENSG00000006451/ENSG00000168811/ENSG00000113578/ENSG00000125848/ENSG00000134215/ENSG00000143398/ENSG00000107862/ENSG00000114251/ENSG00000035664/ENSG00000184349/ENSG00000138448/ENSG00000109743/ENSG00000109458/ENSG00000197635/ENSG00000189403/ENSG00000106366/ENSG00000166086/ENSG00000169429/ENSG00000110934",75,"migration","Shared"
"GO:0043542","endothelial cell migration","53/1739","221/15151",0.239819004524887,2.08941790543793,5.87448875743154,1.14313582036659e-07,1.70688227493685e-05,1.36796308697609e-05,"ENSG00000137801/ENSG00000259207/ENSG00000126785/ENSG00000184304/ENSG00000048052/ENSG00000134954/ENSG00000126016/ENSG00000079385/ENSG00000112902/ENSG00000169554/ENSG00000105976/ENSG00000133121/ENSG00000132669/ENSG00000134013/ENSG00000137764/ENSG00000099250/ENSG00000128052/ENSG00000163430/ENSG00000145147/ENSG00000150630/ENSG00000145632/ENSG00000166068/ENSG00000135046/ENSG00000159167/ENSG00000078401/ENSG00000171951/ENSG00000138685/ENSG00000081189/ENSG00000100345/ENSG00000114861/ENSG00000154188/ENSG00000141376/ENSG00000138772/ENSG00000140945/ENSG00000078098/ENSG00000205542/ENSG00000116977/ENSG00000156234/ENSG00000169398/ENSG00000120899/ENSG00000051382/ENSG00000118257/ENSG00000183287/ENSG00000113578/ENSG00000253008/ENSG00000113140/ENSG00000019549/ENSG00000114251/ENSG00000143878/ENSG00000109458/ENSG00000197635/ENSG00000189403/ENSG00000207935",53,"migration","Shared"
"GO:2000146","negative regulation of cell motility","66/1739","301/15151",0.219269102990033,1.91037733145601,5.74448091874118,1.33508873815542e-07,1.89382337507347e-05,1.51778509179774e-05,"ENSG00000137801/ENSG00000173334/ENSG00000140937/ENSG00000064042/ENSG00000171444/ENSG00000111913/ENSG00000169554/ENSG00000152894/ENSG00000182621/ENSG00000133121/ENSG00000143507/ENSG00000146674/ENSG00000140416/ENSG00000137764/ENSG00000145147/ENSG00000067798/ENSG00000164442/ENSG00000060656/ENSG00000137573/ENSG00000166068/ENSG00000159167/ENSG00000138336/ENSG00000107104/ENSG00000149295/ENSG00000070087/ENSG00000138685/ENSG00000171877/ENSG00000108691/ENSG00000081189/ENSG00000276644/ENSG00000186575/ENSG00000101384/ENSG00000144824/ENSG00000196405/ENSG00000144724/ENSG00000196935/ENSG00000113657/ENSG00000149177/ENSG00000156234/ENSG00000153233/ENSG00000035403/ENSG00000120063/ENSG00000168610/ENSG00000168675/ENSG00000178568/ENSG00000253008/ENSG00000110880/ENSG00000164690/ENSG00000140526/ENSG00000136141/ENSG00000101665/ENSG00000122707/ENSG00000175471/ENSG00000152661/ENSG00000082701/ENSG00000143878/ENSG00000144339/ENSG00000039068/ENSG00000197635/ENSG00000101040/ENSG00000189403/ENSG00000106366/ENSG00000164741/ENSG00000107779/ENSG00000207935/ENSG00000196220",66,"migration","Shared"
"GO:0016049","cell growth","87/1739","442/15151",0.19683257918552,1.71489960163302,5.49254913618713,2.62359070279243e-07,3.23614209731397e-05,2.59357250253165e-05,"ENSG00000153071/ENSG00000145349/ENSG00000078018/ENSG00000115414/ENSG00000079385/ENSG00000112902/ENSG00000146674/ENSG00000156299/ENSG00000137764/ENSG00000099250/ENSG00000187955/ENSG00000146648/ENSG00000145147/ENSG00000131711/ENSG00000135919/ENSG00000169330/ENSG00000163513/ENSG00000022267/ENSG00000187079/ENSG00000074800/ENSG00000133083/ENSG00000173166/ENSG00000154556/ENSG00000075213/ENSG00000078401/ENSG00000151320/ENSG00000118515/ENSG00000130147/ENSG00000047936/ENSG00000114861/ENSG00000221866/ENSG00000187164/ENSG00000128829/ENSG00000041982/ENSG00000166949/ENSG00000129682/ENSG00000115310/ENSG00000102221/ENSG00000179242/ENSG00000149177/ENSG00000109846/ENSG00000139174/ENSG00000140557/ENSG00000008086/ENSG00000137845/ENSG00000019485/ENSG00000163110/ENSG00000118785/ENSG00000133104/ENSG00000182197/ENSG00000035403/ENSG00000144560/ENSG00000092969/ENSG00000055163/ENSG00000105887/ENSG00000105176/ENSG00000120899/ENSG00000164823/ENSG00000118257/ENSG00000170017/ENSG00000198742/ENSG00000134371/ENSG00000125848/ENSG00000158321/ENSG00000177189/ENSG00000171517/ENSG00000006652/ENSG00000168243/ENSG00000067715/ENSG00000117152/ENSG00000101665/ENSG00000137693/ENSG00000114251/ENSG00000080503/ENSG00000176390/ENSG00000184349/ENSG00000152661/ENSG00000082701/ENSG00000115109/ENSG00000168389/ENSG00000039068/ENSG00000171603/ENSG00000141646/ENSG00000121864/ENSG00000141564/ENSG00000156239/ENSG00000127603",87,"proliferation","Shared"
"GO:0033002","muscle cell proliferation","49/1739","204/15151",0.240196078431373,2.09270315371692,5.65782614230122,3.23547905838419e-07,3.74655268923917e-05,3.00263577491294e-05,"ENSG00000137801/ENSG00000162733/ENSG00000259207/ENSG00000173334/ENSG00000115353/ENSG00000146674/ENSG00000140416/ENSG00000080986/ENSG00000197442/ENSG00000146648/ENSG00000136244/ENSG00000150782/ENSG00000164442/ENSG00000170312/ENSG00000078401/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000114861/ENSG00000096968/ENSG00000154188/ENSG00000140945/ENSG00000082482/ENSG00000166478/ENSG00000106809/ENSG00000169946/ENSG00000148737/ENSG00000178607/ENSG00000144560/ENSG00000092969/ENSG00000120063/ENSG00000170962/ENSG00000140443/ENSG00000168214/ENSG00000168811/ENSG00000114030/ENSG00000178568/ENSG00000164690/ENSG00000137693/ENSG00000145794/ENSG00000104415/ENSG00000064989/ENSG00000207725/ENSG00000152661/ENSG00000105971/ENSG00000177606/ENSG00000107779/ENSG00000207935/ENSG00000115252",49,"proliferation","Shared"
