"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"GNF2_AF1Q",0.273196708084557,0.720603318890309,0.0319630032939332,0.433117829943982,1.15382920829606,23,"STMN2;STMN4;ADCY1;DYNC1I1;GAP43;RALYL;MLLT11","14_C2_Curated"
"GNF2_ANK1",0.162814070351759,0.594877274295004,0.0638665387777927,-0.322863766491093,-1.17559082330808,65,"H1-0;ALAS2;H4C3;CTSE;HEBP1;NUDT4;NFE2","14_C2_Curated"
"GNF2_ANP32B",0.0597183098591549,0.383542234332425,0.0981470491928706,-0.424101253102358,-1.38250019819067,36,"PRPS1;HMGB2;DUT;SRI;HMGB1;DEK;VRK1;SRSF1;SRSF3;HNRNPU;EXOSC8;ANP32B;SRSF2;TRA2B;HMGN2;SUZ12;GTPBP1","14_C2_Curated"
"GNF2_APEX1",0.0490269461077844,0.348185314537424,0.12546307449004,-0.340474087029244,-1.31832336591201,90,"ZNF22;EPRS1;DUT;SYNCRIP;RBMX;H2AZ2;HMGB1;PPIH;SFPQ;SNRPD3;H2AZ1;SRSF1;GRSF1;SRSF3;HINT1;ATP5MC2;SRSF7;ARMCX6;SRSF10;HNRNPU;KHDRBS1;NONO;HNRNPA1;ATP5MG;EXOSC8;EED;SRSF2;TRA2B;NOLC1;HMGN2;SUZ12;HNRNPR;SUPT16H","14_C2_Curated"
"GNF2_ATM",0.496509044747699,0.886889224558294,0.0213814510395214,0.355413714011577,0.978694868088794,27,"TMC6;ARHGAP45;RASGRP2;CASP8;PIK3IP1;BTN3A1;DEF6;BTN3A2","14_C2_Curated"
"GNF2_BNIP2",0.380498739142617,0.81470949987397,0.0364020639179082,-0.323313553089133,-1.04174441564177,34,"DOCK2;DDX5;LAPTM5;KDM5A;PDCD6IP;ELF4;SSR1;CLIC1;MBD2;RBM3;NACA;HCLS1","14_C2_Curated"
"GNF2_BNIP3L",0.333767502442201,0.777539341752731,0.0427020872196148,-0.293978351817403,-1.06142225106018,61,"H1-0;ALAS2;H4C3;NUDT4;NFE2","14_C2_Curated"
"GNF2_BUB1",1.89963283715759e-10,1.24827287553265e-08,0.826657301178302,-0.843166280846418,-2.53732461835757,26,"RRM2;CDCA8;KIF20A;AURKB;CDC20;NDC80;ASPM;FOXM1;HMMR;ESPL1;PLK1;BUB1B;SPAG5;BUB1;CKS1B;CENPE;CCNB2;MELK;CDT1;KIF2C","14_C2_Curated"
"GNF2_BUB1B",1.04855966265368e-13,1.22996048429276e-11,0.954541630725724,-0.780365337687897,-2.69331283015972,49,"HJURP;RRM2;CDCA8;UBE2C;KIF20A;TTK;AURKB;TOP2A;ZWINT;CDC20;NDC80;ASPM;AURKA;HMMR;ESPL1;PLK1;CCNA2;HELLS;BUB1B;SPAG5;GINS1;LMNB1;TYMS;BUB1;CCNB2;MELK;KIF14;NCAPD2","14_C2_Curated"
"GNF2_BUB3",0.530727762803235,0.912055782482634,0.0291412258267377,-0.311329057852506,-0.955751192840271,28,"RAN;SNRPG;SNRPD3;XRCC5;SRSF10;HNRNPF;MCM3;SNRPA;TP53;PSIP1;BUB3;HNRNPA2B1;U2SURP","14_C2_Curated"
"GNF2_CARD15",0.0532823079187518,0.361969964413297,0.0744947003424623,0.43922051751067,1.38044610817591,55,"CDA;PECAM1;MS4A6A;NOD2;S100A4;MAFB;CTSS;NCF2;FOS;CD33;FPR1;FCGR1A;CCR1","14_C2_Curated"
"GNF2_CASP1",0.341025641025641,0.782352287287258,0.0248130741633458,0.310611019830571,1.06374447174291,97,"PECAM1;DPEP2;PLCB2;MS4A6A;NOD2;S100A4;MAFB;FES;IL10RA;CTSS;NCF2;CD33","14_C2_Curated"
"GNF2_CASP4",0.980439313772647,1,0.0115009735423448,0.205961378222503,0.554216116562888,24,"HLA-B;B2M;WAS;SELL","14_C2_Curated"
"GNF2_CASP8",0.819304152637486,1,0.0141147538988029,0.280445519576552,0.754643555546942,24,"TMC6;ARHGAP45;CASP8;BIN2;BTN3A3;C11orf21;BTN3A1;BTN3A2","14_C2_Curated"
"GNF2_CBFB",0.958759641114434,1,0.0115591416516076,0.220699048732733,0.621213785934224,30,"LCP1;INPP5D;ZC3H15;AIMP1;TAOK3","14_C2_Curated"
"GNF2_CCNA1",0.997779422649889,1,0.0100351817285282,0.1732307391999,0.535456496997251,49,"YBX2;HSPA1L;OAZ3;CCNA1;ACTL7A;GRK4;PHF7;MROH7","14_C2_Curated"
"GNF2_CCNA2",2.31602623641138e-21,5.43339755062111e-18,1.19534448258848,-0.810100775153789,-2.96558690539416,67,"HJURP;DLGAP5;RRM2;KIF18B;CDCA8;UBE2C;KIF20A;TTK;MKI67;AURKB;BIRC5;TOP2A;SHCBP1;ZWINT;CDC20;NDC80;ASPM;RAD51AP1;TPX2;AURKA;CDK1;FOXM1;HMMR;ESPL1;NCAPG;E2F8;PLK1;CCNA2;NUSAP1;BUB1B;PCLAF;CDCA3;TYMS;CENPA;CKS1B;GINS2;CENPE;CKS2;HMGB2;TMPO;CCNB2;MELK;FEN1;KIF14;NCAPD2;MCM6;PRC1;CENPF;RACGAP1;ASF1B;H2AX;FANCI","14_C2_Curated"
"GNF2_CCNB2",3.4106067128291e-19,1.84645000345317e-16,1.13308993200902,-0.820956125619342,-2.90718906247919,55,"DLGAP5;RRM2;KIF18B;CDCA8;UBE2C;KIF20A;TTK;BIRC5;TOP2A;SHCBP1;ZWINT;CDC20;NDC80;ASPM;TPX2;AURKA;CDK1;FOXM1;HMMR;ESPL1;CCNA2;NUSAP1;PTTG1;BUB1B;PLK4;SPAG5;CDCA3;TYMS;BUB1;CENPE;CKS2;HMGB2;CCNB2;MELK;PBK;FEN1;KIF2C;CKAP2;PRC1;CENPF","14_C2_Curated"
"GNF2_CD14",0.418626827717737,0.838203413856273,0.0241291682637753,0.373525589849418,1.03428494540042,28,"MS4A6A;NOD2;MAFB;CTSS;CD33","14_C2_Curated"
"GNF2_CD1D",0.305922586662521,0.752109411494084,0.0291504450086787,0.386877897217284,1.11357767689308,34,"MS4A6A;NOD2;MAFB;CTSS;FOS;CD33","14_C2_Curated"
"GNF2_CD33",0.349878934624697,0.788487973707531,0.0263118666274004,0.356358090797572,1.07179034884976,43,"CD163;MS4A6A;NOD2;MAFB;FES;CTSS;FOS;CD33;FCGR1A","14_C2_Curated"
"GNF2_CD48",0.470413739266198,0.870032414515854,0.0219723546102189,0.351023324818729,0.994665568695896,31,"INPP5D;RAC2;CD53;HLA-B;SASH3;VAV1;HLA-C;HLA-A;TRIM38;HLA-F;CORO1A;LIMD2","14_C2_Curated"
"GNF2_CD53",0.475679647318148,0.872474982023011,0.0208558393657093,0.314595554328697,0.991572940868533,56,"LCP1;INPP5D;RAC2;CD53;HLA-G;OSTF1;HLA-B;SASH3;B2M;WAS;GPSM3;VAV1;HLA-C;HLA-A;SELL","14_C2_Curated"
"GNF2_CD7",0.15909450688618,0.589009542064669,0.0431731179875694,0.451034162352068,1.26075924024677,29,"PRF1;IL2RB;CD247;GNLY;PRKCH;BTN3A3;RUNX3","14_C2_Curated"
"GNF2_CD97",0.446841533447152,0.85504913333362,0.0226924583309397,0.352318644495187,1.00906279277654,33,"IL10RA;HLA-G;OSTF1;CD300A;SELPLG;BIN2;ADAM8;MYO1F;HLA-F;ID2;APOBR;CLEC2B;AOAH","14_C2_Curated"
"GNF2_CDC2",3.84979199695982e-21,5.57752568768579e-18,1.18665095279281,-0.819111452056864,-2.95743926699538,61,"HJURP;DLGAP5;RRM2;KIF18B;CDCA8;UBE2C;KIF20A;TTK;MKI67;BIRC5;KIFC1;TOP2A;SHCBP1;MYBL2;ZWINT;CDC20;NDC80;ASPM;TPX2;AURKA;CDK1;FOXM1;HMMR;NCAPG;E2F8;CCNA2;KIF15;NUSAP1;PTTG1;PLK4;CDCA3;TYMS;GINS2;CENPE;CKS2;HMGB2;TMPO;CCNB2;MELK","14_C2_Curated"
"GNF2_CDC20",8.45377297382329e-21,8.49966488425262e-18,1.1778932614942,-0.836654672816396,-2.96278112554305,55,"DLGAP5;RRM2;KIF18B;CDCA8;UBE2C;KIF20A;TTK;MKI67;AURKB;BIRC5;TOP2A;SHCBP1;ZWINT;CDC20;NDC80;ASPM;TPX2;AURKA;CDK1;FOXM1;HMMR;ESPL1;PLK1;CCNA2;NUSAP1;PTTG1;BUB1B;PLK4;SPAG5;CDCA3;TYMS;BUB1;RAN;CKS1B;CENPE;CKS2;CCNB2;MELK","14_C2_Curated"
"GNF2_CDC27",0.945493960978631,1,0.021765354633772,-0.20888992775413,-0.734130930792666,53,"ALAS2;CTSE;NUDT4","14_C2_Curated"
"GNF2_CDH11",2.67413765007997e-06,0.00010816425736358,0.627256739718528,-0.750042290557941,-2.23449941075262,25,"CDH11;PTX3;COL5A2;LOXL1;FBN1;LOXL2;FN1;COL1A2;COL5A1;FSTL1;RAI14;PXDN","14_C2_Curated"
"GNF2_CDH3",0.0532307198973866,0.361968895302229,0.0779134661483548,0.543005608156294,1.46115966994132,24,"KRT17;KRT19;SFN;CDH3;GJB3;LAMC2;S100A2","14_C2_Curated"
"GNF2_CDKN1C",0.07557289127255,0.425636958152092,0.0653662929462658,0.540011180399216,1.4087816168658,21,"PSG3;CDKN1C;PSG9;HSD3B1;PSG7;PSG1;GCM1;PSG4;GDF15","14_C2_Curated"
"GNF2_CEBPA",0.0659389290455819,0.397628889736481,0.0667337413459785,0.440754538461451,1.36690893871893,50,"FTCD;RBP4;AGXT;SERPINF2;CYP4F12;ORM2;SERPING1;RDH16;C8G;HSD17B6;AMBP;TMEM176B;SLC22A1;TMEM176A","14_C2_Curated"
"GNF2_CENPE",5.85213639637485e-17,1.52545688732171e-14,1.05746357275086,-0.855342206480013,-2.84435565056588,40,"DLGAP5;RRM2;KIF18B;CDCA8;UBE2C;MKI67;AURKB;BIRC5;SHCBP1;MYBL2;ZWINT;CDC20;NDC80;ASPM;AURKA;CDK1;FOXM1;HMMR;ESPL1;CCNA2;NUSAP1;CDCA3;TYMS;BUB1;CKS1B;CENPE;CKS2;TMPO;CCNB2","14_C2_Curated"
