"chr","start","end","Category","TES_Methylation","GFP_Methylation","Methylation_Diff"
"chr1",1859164,1859649,"Shared",0,11.3204447428385,-11.3204447428385
"chr1",4603158,4603740,"Shared",0.413869802170716,0,0.413869802170716
"chr1",6991116,6991751,"Shared",0,2.34285147684925,-2.34285147684925
"chr1",8090253,8090656,"Shared",0,0,0
"chr1",8133787,8134397,"Shared",2.57545820819961,0,2.57545820819961
"chr1",8137496,8138216,"Shared",2.10978011979144,7.63070200418798,-5.52092188439654
"chr1",8408101,8408552,"Shared",4.87399767985386,0,4.87399767985386
"chr1",8456431,8456751,"Shared",6.60161148499106,0,6.60161148499106
"chr1",8712319,8713005,"Shared",3.51217022802805,0,3.51217022802805
"chr1",8905640,8906151,"Shared",19.5060885101557,20.6404651924968,-1.1343766823411
"chr1",8938503,8939160,"Shared",7.11071174412875,0,7.11071174412875
"chr1",9766708,9767229,"Shared",0,0,0
"chr1",10108219,10108638,"Shared",4.2961913335891,9.82452883039202,-5.52833749680292
"chr1",11158560,11158974,"Shared",0,16.6267398972109,-16.6267398972109
"chr1",11180072,11180636,"Shared",5.18036324830182,0,5.18036324830182
"chr1",11281900,11282389,"Shared",7.70743669782366,19.6022942290014,-11.8948575311778
"chr1",12381107,12381793,"Shared",1.7102694337892,5.20543197565204,-3.49516254186283
"chr1",12433494,12434620,"Shared",1.58244805729484,4.06812788007951,-2.48567982278467
"chr1",12447285,12448104,"Shared",3.45424996352777,0,3.45424996352777
"chr1",12448877,12449670,"Shared",0,1.44357056701814,-1.44357056701814
"chr1",12454175,12455521,"Shared",2.88163245299523,0,2.88163245299523
"chr1",12478117,12478852,"Shared",0,0,0
"chr1",12549671,12550547,"Shared",7.29683113750601,0,7.29683113750601
"chr1",12615721,12616317,"Shared",0,0,0
"chr1",12692705,12693699,"Shared",2.89943963439021,0,2.89943963439021
"chr1",12810677,12811221,"Shared",6.94886369617707,0,6.94886369617707
"chr1",14486257,14487106,"Shared",10.8362531235639,0,10.8362531235639
"chr1",14742059,14742969,"Shared",3.68498784388721,0,3.68498784388721
"chr1",15796645,15797142,"Shared",5.0978902487391,0,5.0978902487391
"chr1",16008278,16008553,"Shared",0.8742249806722,21.8441516627436,-20.9699266820714
"chr1",17128234,17129041,"Shared",0,5.95794446397536,-5.95794446397536
"chr1",19758031,19758882,"Shared",2.3394753003904,0,2.3394753003904
"chr1",19759505,19760204,"Shared",2.39787423270089,0,2.39787423270089
"chr1",19790538,19790973,"Shared",3.92198179402483,0,3.92198179402483
"chr1",20613703,20614141,"Shared",0,0,0
"chr1",21043245,21043772,"Shared",0.516587488579028,0,0.516587488579028
"chr1",21149578,21150241,"Shared",6.20910392899111,8.0095647444208,-1.80046081542969
"chr1",21764621,21765598,"Shared",5.64222533181157,0,5.64222533181157
"chr1",23100082,23100486,"Shared",5.12876965558087,3.9055534362793,1.22321621930158
"chr1",23194122,23195343,"Shared",6.25834640153301,4.50223907121075,1.75610733032227
"chr1",24374908,24375701,"Shared",7.00259816436383,15.6194422791527,-8.61684411478883
"chr1",24417008,24417263,"Shared",0,7.43235839903355,-7.43235839903355
"chr1",25696023,25696305,"Shared",2.1500374082963,0,2.1500374082963
"chr1",28122140,28122651,"Shared",5.16339109838009,8.95464867353439,-3.7912575751543
"chr1",28437581,28438405,"Shared",3.68763991847183,0,3.68763991847183
"chr1",28508609,28509502,"Shared",5.5856409094211,8.46184250492378,-2.87620159550268
"chr1",29331724,29332391,"Shared",0,6.86344329468504,-6.86344329468504
"chr1",29575476,29576738,"Shared",7.3094133149039,0,7.3094133149039
"chr1",30732666,30733119,"Shared",0,0,0
"chr1",34268230,34268691,"Shared",5.67678558878052,0,5.67678558878052
"chr1",35607365,35607747,"Shared",4.10862915198423,2.2145804761284,1.89404867585583
"chr1",35613642,35614133,"Shared",3.411609680672,7.59470690750494,-4.18309722683294
"chr1",38138608,38139026,"Shared",0,0,0
"chr1",39110691,39111153,"Shared",0.067974296553346,0,0.067974296553346
"chr1",39154712,39155223,"Shared",4.71261903643608,0.402959190309048,4.30965984612703
"chr1",39159254,39159857,"Shared",14.7112400358086,0,14.7112400358086
"chr1",39177745,39178959,"Shared",2.07223699122299,0,2.07223699122299
"chr1",39288762,39289366,"Shared",7.14407016974835,0,7.14407016974835
"chr1",39893004,39893591,"Shared",10.6512329075612,0,10.6512329075612
"chr1",39987548,39988323,"Shared",0,2.95411090260928,-2.95411090260928
"chr1",40392055,40392589,"Shared",6.05911444548135,0,6.05911444548135
"chr1",40967511,40968349,"Shared",0,0,0
"chr1",41955246,41955947,"Shared",3.9900524758885,12.8987759810228,-8.90872350513426
"chr1",42165657,42166071,"Shared",0,14.9143449714385,-14.9143449714385
"chr1",42844664,42845095,"Shared",3.0840714595936,0,3.0840714595936
"chr1",42949821,42950655,"Shared",1.19355266822312,0,1.19355266822312
"chr1",43838952,43839577,"Shared",3.85441045791577,5.85914392440845,-2.00473346649267
"chr1",43858357,43858590,"Shared",0,0,0
"chr1",44423577,44423992,"Shared",0,0,0
"chr1",44472563,44473100,"Shared",2.72992187273104,0,2.72992187273104
"chr1",45871788,45872584,"Shared",9.43765359301788,0,9.43765359301788
"chr1",48052523,48052969,"Shared",0,0,0
"chr1",51264558,51264938,"Shared",7.04884752889318,0,7.04884752889318
"chr1",53838278,53838678,"Shared",0,0,0
"chr1",53896768,53897225,"Shared",4.81014618186451,0,4.81014618186451
"chr1",55156083,55156380,"Shared",2.11222142981203,8.46184250492378,-6.34962107511175
"chr1",55580570,55581291,"Shared",3.37096302529121,0,3.37096302529121
"chr1",57411299,57411822,"Shared",0,0,0
"chr1",58727437,58727779,"Shared",0,22.923900604248,-22.923900604248
"chr1",58764136,58765008,"Shared",1.65832367467716,0,1.65832367467716
"chr1",58848909,58849310,"Shared",8.08982089977359,6.27270912056539,1.81711177920821
"chr1",58874659,58875636,"Shared",1.78063002198264,0,1.78063002198264
"chr1",58883138,58883729,"Shared",7.93888129414739,3.44632965165216,4.49255164249523
"chr1",59127985,59129402,"Shared",2.14548866906859,0,2.14548866906859
"chr1",59143130,59144269,"Shared",3.22082452606737,13.2717493291487,-10.0509248030813
"chr1",59150785,59151574,"Shared",0,0,0
"chr1",59367523,59368599,"Shared",0,0,0
"chr1",59505532,59505909,"Shared",0,10.2490455082485,-10.2490455082485
