"pathway","description","pval","padj","log2err","ES","NES","size","leadingEdge","category"
"GO:0000070","mitotic sister chromatid segregation",4.84967120969139e-15,5.66635584140342e-12,0.996986217533181,-0.563203807243858,-2.40939359802556,190,"DLGAP5;KIF18B;CDCA8;UBE2C;TTK;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;KIF23;TPX2;SKA3;CDK1;KNL1;ESPL1;CDCA5;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;RIPOR2;BUB1B;SPAG5;KIF18A;BUB1;NCAPG2;SKA2;HASPIN;KIF22;RAN;UHRF1;CENPE;MZT1;KNSTRN;INCENP;KIF14;NCAPD2;CDT1;SPDL1;KIF2C;CENPI;PRC1;CENPF;TUBG1","Proliferation"
"GO:0140014","mitotic nuclear division",5.36360382408015e-13,4.47631050575374e-10,0.921426003494898,-0.477711658281797,-2.11855210567749,273,"TGFA;DLGAP5;KIF18B;CDCA8;EDN1;UBE2C;CDC25C;TTK;MKI67;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;NFIB;KIF23;TPX2;AURKA;SKA3;CDK1;KNL1;ESPL1;CDCA5;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;RIPOR2;BUB1B;ANLN;SPAG5;KIF18A;BUB1;NCAPG2;SKA2;CDCA2;HASPIN;KIF22;RAN;UHRF1;KIF20B;CENPE;BORA;MZT1;REEP4;PKMYT1;KNSTRN;INCENP;KIF14;CHEK1;NCAPD2;OBSL1;CDT1;SPDL1;KIF2C;TOM1L1;CENPI","Proliferation"
"GO:0051310","metaphase chromosome alignment",5.82539416686501e-12,3.78132808031393e-09,0.887074988399873,-0.629458424985158,-2.47690695936218,100,"CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;ZWINT;NDC80;SKA3;CDK1;KNL1;CDCA5;NUF2;NEK2;SGO1;ECT2;SPAG5;KIF18A;DSN1;FAM83D;SKA2;KIF22;CENPE;KNSTRN;INCENP;KIF14;CDT1;SPDL1;KIF2C;CENPF;DYNC1H1;RACGAP1","Proliferation"
"GO:0098813","nuclear chromosome segregation",5.54037756282023e-12,3.78132808031393e-09,0.887074988399873,-0.445883625668682,-2.00375798823186,307,"DLGAP5;KIF18B;CDCA8;UBE2C;TTK;AURKB;BIRC5;KIFC1;SPC25;TOP2A;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;ASPM;KIF23;TPX2;AURKA;SKA3;CDK1;KNL1;ESPL1;CDCA5;FANCD2;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;SGO1;PTTG1;ECT2;RIPOR2;BUB1B;SPAG5;KIF18A;DSN1;FAM83D;BUB1;NCAPG2;SKA2;HASPIN;KIF22;RAN;UHRF1;CENPE;CCNB2;MZT1;RNF212B;KNSTRN;INCENP;KIF14;TACC3;CDC6;NCAPD2;CDT1;SPDL1;KIF2C;CENPI;ANAPC1;BRIP1;RIOK2;PRC1;CENPF;TUBG1;DYNC1H1;NEK6;RACGAP1;MLH3;BCL7A;HSPA1A;ACTB;TRIP13;SHOC1;MAD2L1","Proliferation"
"GO:0007051","spindle organization",1.44423533239424e-11,8.43722281184717e-09,0.875325132024659,-0.503609077054253,-2.15889816645001,198,"DLGAP5;CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;CCNB1;MYBL2;CDC20;NDC80;ASPM;KIF23;TPX2;AURKA;SKA3;ESPL1;NUF2;NEK2;PLK1;KIF15;AUNIP;CENPJ;GNAI1;RIPOR2;SPAG5;WDR62;HAUS4;SKA2;RAN;UHRF1;CENPE;PLK2;BORA;CCNB2;MZT1;HAUS8;KNSTRN;GPSM2;INCENP;TACC3;TUBGCP3;SUGT1;SPATA17;PRC1;TUBG1;TUBB;PKD1;DYNC1H1;NEK6;RACGAP1;CEP126;MYH9","Proliferation"
"GO:0051304","chromosome separation",2.91779929928252e-11,1.54961668240077e-08,0.851339057116899,-0.64405317144916,-2.45191805727734,82,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;NCAPG;PLK1;BUB1B;BUB1;NCAPG2;HASPIN;SMARCAD1;INCENP;NCAPD2;SPDL1;CENPF;CENATAC;PLSCR1;TRIP13;MAD2L1","Proliferation"
"GO:0008608","attachment of spindle microtubules to kinetochore",5.66281283752234e-11,2.45682550572573e-08,0.851339057116899,-0.717312340147969,-2.51830000093688,54,"CDCA8;AURKB;BIRC5;SPC25;SPC24;CCNB1;NDC80;SKA3;CDK1;KNL1;NUF2;NEK2;SGO1;ECT2;SPAG5;DSN1;SKA2;CENPE;KNSTRN;INCENP;CDT1;KIF2C","Proliferation"
"GO:0010965","regulation of mitotic sister chromatid separation",5.88763387198909e-11,2.45682550572573e-08,0.839088935621274,-0.696009056878211,-2.49993768116345,61,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;PLK1;BUB1B;BUB1;HASPIN","Proliferation"
"GO:0051306","mitotic sister chromatid separation",5.81331949101131e-11,2.45682550572573e-08,0.851339057116899,-0.685271621650693,-2.49152503120488,64,"DLGAP5;CDCA8;UBE2C;TTK;AURKB;BIRC5;SPC25;SPC24;CCNB1;ZWINT;CDC20;NDC80;SKA3;KNL1;ESPL1;NUF2;PLK1;BUB1B;BUB1;HASPIN","Proliferation"
"GO:0050000","chromosome localization",7.77101707381456e-11,3.02655211634831e-08,0.839088935621274,-0.580286038491198,-2.33612875775977,118,"DLGAP5;CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;ZWINT;NDC80;SKA3;CDK1;KNL1;CDCA5;NUF2;NEK2;SGO1;ECT2;SPAG5;KIF18A;DSN1;FAM83D;SKA2;KIF22;CENPE;KNSTRN;INCENP;KIF14;CDT1;SPDL1;KIF2C","Proliferation"
