"pathway","description","pval","padj","log2err","ES","NES","size","leadingEdge"
"ANGIOGENESIS","ANGIOGENESIS",0.62257217847769,0.927175637939842,0.0258753313940948,-0.320715248867464,-0.88714567930135,19,"VEGFC;VEGFA;ANGPT1;EPAS1"
"ANTI_APOPTOSIS","ANTI_APOPTOSIS",0.198620361560419,0.673068509479681,0.0478123851715253,-0.539524510544636,-1.26613863389853,10,"BIRC5;BIRC3;BIRC2"
"APOPTOSIS","APOPTOSIS",0.802840158520476,0.998623192083949,0.0148326191037422,0.308926433941936,0.753497748220488,16,"TNFRSF10A;CASP8;BID;APAF1;BAK1;BAX;CASP3"
"CELL_CYCLE","CELL_CYCLE",0.0139107611548556,0.231326026355803,0.198584486969905,-0.598910456475477,-1.65667465337823,19,"CCNB1;E2F2;CDK1;CCNA2;CDK6;CCNB2;CDK2"
"EMT","EMT",0.18480697384807,0.649604296763191,0.0509788589717893,-0.487261233110395,-1.25191067557045,14,"VIM;FN1;ZEB2;TWIST1;GSC;CDH2;TCF4"
"GLIOBLASTOMA_CORE","GLIOBLASTOMA_CORE",0.152306132792701,0.615759465588209,0.0570783025835191,-0.483545502975998,-1.28484343350651,16,"MET;EGFR;PIK3R1;MDM4;RB1"
"GO:0000002","mitochondrial genome maintenance",0.998320268756999,1,0.0193810693240287,-0.143058479179902,-0.443986573592925,30,"PIF1;SLC25A36;RRM1;RRM2B;DNA2;ENDOG;OPA1;SESN2;TP53;METTL4;NEURL4;MEF2A"
"GO:0000012","single strand break repair",0.0651093439363817,0.465567671084874,0.0880409553363699,-0.581026681175985,-1.46165803244812,13,"NEIL3;APLF;XRCC1;LIG4;TDP1"
"GO:0000018","regulation of DNA recombination",0.000625691372409202,0.0281176076739581,0.477270815362862,-0.391237570625423,-1.60463376293567,133,"H1-0;H1-5;H1-3;RAD51AP1;H1-2;POLQ;H1-4;PLK1;KPNA2;FIGNL1;TNFSF4;NBN;IL7R;SMARCAD1;YEATS4;APLF;CHEK1;PARPBP;H1-10;IL4;PTPRC;ERCC2;RAD50;ACTB;BRD8;RAD51;H1-1;SKP2;FANCB;RNF126;ZNF365;NSD2;CLCF1"
"GO:0000022","mitotic spindle elongation",0.00623800383877159,0.145769673704415,0.285313392143872,-0.732320968292756,-1.76375437719863,11,"CDCA8;AURKB;BIRC5;KIF23;INCENP;PRC1;RACGAP1"
"GO:0000027","ribosomal large subunit assembly",0.927752864972596,1,0.0128261999715898,0.262091246250209,0.629771208990788,15,"NOP2;DDX28;MDN1;DHX30;EIF6;BRIX1;MRTO4;RRS1"
"GO:0000028","ribosomal small subunit assembly",0.0975481149485895,0.541357578341587,0.0736532668184816,-0.476296987117302,-1.35335481184378,21,"PRKDC;RPSA2;RRP7BP;RPS27L;XRCC5;RPS19"
"GO:0000038","very long-chain fatty acid metabolic process",0.785834266517357,0.994740331166578,0.0230975742674363,-0.261295442673364,-0.810938777995144,30,"SLC27A6;ELOVL6;ACSL6;HACD1;HACD2;ACOX1;ABCD1;TECR;ABCD3;PEX2"
"GO:0000041","transition metal ion transport",0.185235445786402,0.650327809065002,0.0362938648320271,0.344451926548343,1.17445263305272,95,"TCN2;SCARA5;CBLIF;TMEM163;NECTIN1;TFR2;SLC39A8;SLC30A10;SLC39A4;TRPM2;TCN1;SLC30A3;SLC39A6;HEPHL1;MCOLN2;B2M;TRPC7;ABCC5;SLC46A3;MCOLN1;SLC39A11;CUTC;ATP7B;ATOX1;ISCU;MELTF;RAB11B;ATP7A"
"GO:0000045","autophagosome assembly",0.989335088874259,1,0.0083000446446391,0.191572294460345,0.671827894562908,117,"RUFY4;ATG9B;IRGM;WIPI1;RAB33A;RAB23;PIP4K2C;PINK1;RAB19;ATG4A;ATG4B;EFNB1;GABARAPL3;PSEN1;AP5Z1;GABARAPL2;RALB;VMP1;WDR45;RAB3GAP1;STX12;ULK3;STBD1;IFT20;ATG13;SCFD1;RAB7A;ATG16L1;BECN1;TBC1D14;SMCR8;TOM1;MAP1LC3B;RAB1B;WIPI2;ATG3;BAG3;ATG101;EMC6;PHF23"
"GO:0000050","urea cycle",0.658553308193349,0.950524220262037,0.0182670477184187,0.382682077142962,0.852525627386735,11,"ASS1;AGMAT;SLC25A2;ASL;ARG1"
"GO:0000054","ribosomal subunit export from nucleus",0.687515699572972,0.95682977160777,0.0235046544101677,-0.32238609657885,-0.842565944058625,15,"RAN;RIOK2;NMD3"
"GO:0000070","mitotic sister chromatid segregation",4.84967120969139e-15,5.66635584140342e-12,0.996986217533181,-0.563203807243858,-2.40939359802556,190,"DLGAP5;KIF18B;CDCA8;UBE2C;TTK;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;KIF23;TPX2;SKA3;CDK1;KNL1;ESPL1;CDCA5;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;RIPOR2;BUB1B;SPAG5;KIF18A;BUB1;NCAPG2;SKA2;HASPIN;KIF22;RAN;UHRF1;CENPE;MZT1;KNSTRN;INCENP;KIF14;NCAPD2;CDT1;SPDL1;KIF2C;CENPI;PRC1;CENPF;TUBG1"
"GO:0000075","cell cycle checkpoint signaling",1.24177425253569e-09,3.02268549304729e-07,0.788186810800237,-0.474075129227858,-2.034669090554,199,"CDCA8;GTSE1;TTK;BRCA2;AURKB;BIRC5;SPC25;SPC24;E2F7;CCNB1;ZWINT;CDC20;NDC80;SKA3;CDK1;KNL1;FANCD2;NUF2;PLK1;DTL;BUB1B;FBXO4;UFL1;CDC45;BUB1;HASPIN;NBN;PRKDC;PLK2;RNASEH2B;TICRR;BRCA1;CDK2;BARD1;INCENP;CHEK1;CDC6;STK33;CDT1;SPDL1;RHNO1;BRIP1;WDR76;CENPF;RAD50;RAD51;TRIP13;H2AX;MAD2L1;BABAM2;CCND1;EIF2AK4;RFWD3;CRY1;RPS27L;ETAA1;MAD1L1;PABIR1;APC;XPC"
"GO:0000076","DNA replication checkpoint signaling",0.52318574796961,0.881494048756875,0.0288856775521526,-0.339577940815008,-0.953091137174501,20,"CDC45;TICRR;CDC6;CDT1"
"GO:0000077","DNA damage checkpoint signaling",0.00116831125931007,0.0452004925621816,0.45505986738723,-0.391766085123128,-1.59711536457786,128,"GTSE1;BRCA2;E2F7;CDK1;FANCD2;PLK1;DTL;FBXO4;UFL1;NBN;PRKDC;PLK2;RNASEH2B;TICRR;BRCA1;CDK2;BARD1;CHEK1;STK33;RHNO1;BRIP1;WDR76;RAD51;H2AX;BABAM2;CCND1;EIF2AK4;RFWD3;CRY1;RPS27L;ETAA1"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",0.0725190839694656,0.484342647251738,0.0988657646175473,-0.345313730040623,-1.28810027249481,74,"CDC25C;LATS2;PLK1;CDC25A;DIRAS3;PKMYT1;TFAP4;EGFR;CDC6;CDKN3;SPDYE2;CDKN2D;SPDYE16;SPDYE6;SPDYE2B;TNFAIP3;ACTB;CCND1"
"GO:0000082","G1/S transition of mitotic cell cycle",0.000140890003145322,0.0082713510179363,0.518848077743792,-0.356434058504245,-1.54777775845795,221,"DDR2;RRM2;IQGAP3;GTSE1;LATS2;ID4;E2F7;CCNB1;DACT1;CCL2;CDK1;CCNA2;CDK6;ANXA1;CENPJ;PKD2;BCAT1;PLCB1;CDC25A;PRKDC;PLK2;CCNB2;MIR221;MIR222;CDK2;EGFR;KIF14;JADE1;CDC6;CCNB3;CDKN3;CDKN2D;CCNH;PRMT2;KANK2;PKD1;SLFN11;BCL7A;ACTB;MYC;CCND1;DBF4;TFDP1;DPF2;RDX;SKP2;EZH2;RFWD3;PTPN6;RPS27L;DLG1;CCNI;APC;PPP3CA;CCNF;MYO16;LATS1;GPR132;RB1;CCNG2;PHF10;PML;CDC7;LSM10;CCNE1;KHDRBS1;DDX3X;MBLAC1;CDKN1A;CUL4B;SMARCD3;RRM1;TRIAP1;TMEM14B;ATM"
"GO:0000086","G2/M transition of mitotic cell cycle",0.000914147010175175,0.0376087805172068,0.477270815362862,-0.381973397876723,-1.56929861287113,136,"CDC25C;AURKB;BIRC5;CCNB1;AURKA;CDK1;FOXM1;PLK1;CCNA2;DTL;CDK6;PLCB1;TPD52L1;NBN;CDC25A;DBF4B;KCNH5;RNASEH2B;MELK;TICRR;PKMYT1;BRCA1;CDK2;BARD1;KIF14;CHEK1;CDC6;MASTL;CENPF;RAD50;PBX1;BABAM2;CCND1;CDC25B;SKP2;FBXO5;CDK14;ETAA1"
"GO:0000096","sulfur amino acid metabolic process",0.632157968970381,0.933207095049879,0.0268486259097474,-0.287070795241436,-0.897411659476831,31,"MRI1;BHMT;SLC7A11;BHMT2;APIP;TST;MTAP;CPS1"
"GO:0000097","sulfur amino acid biosynthetic process",0.0630769230769231,0.462127144476897,0.0909392279226991,-0.536709758332632,-1.44785171535793,17,"MRI1;BHMT;BHMT2;APIP;MTAP"
"GO:0000098","sulfur amino acid catabolic process",0.161779924111763,0.630715249662618,0.0448553253356751,0.59702337163414,1.29981984681203,10,"FMO1;AGXT;CSAD"
"GO:0000101","sulfur amino acid transport",0.98680150839904,1,0.0123871704591865,0.20987484108991,0.467551764923719,11,"SLC1A2;SLC43A2;CTNS;SLC1A4;SLC3A2"
"GO:0000132","establishment of mitotic spindle orientation",0.739056720098644,0.976323866047341,0.0150329461208797,0.28864952422168,0.825001114541922,33,"MISP"
"GO:0000154","rRNA modification",0.998848589522165,1,0.0197933851570147,-0.146234796496741,-0.471031656253267,35,"NSUN3;NAF1"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.989939024390244,1,0.0208082953695662,-0.180503741722922,-0.607944256926333,44,"GSPT2;SYNCRIP;RBM8A;A1CF;CASC3;SKIC8;PNLDC1;PNRC1;SMG9;DCP2;EIF4A3;RC3H1"
