"gene_idx","ensembl_id","symbol","is_deg","expr_direction","gene_width","n_dmrs","has_dmr","dmr_density"
1,"ENSG00000121410","A1BG",FALSE,"Not_DEG",17574,0,FALSE,0
2,"ENSG00000156006","NAT2",FALSE,"Not_DEG",14908,0,FALSE,0
3,"ENSG00000196839","ADA",FALSE,"Not_DEG",67357,1,TRUE,14.8462669061864
4,"ENSG00000170558","CDH2",TRUE,"DOWN",245068,0,FALSE,0
5,"ENSG00000236362","GAGE12F",FALSE,"Not_DEG",16941,0,FALSE,0
6,NA,"LINC02584",FALSE,"Not_DEG",3000,0,FALSE,0
7,NA,"POU5F1P5",FALSE,"Not_DEG",658,0,FALSE,0
8,"ENSG00000256628","ZBTB11-AS1",FALSE,"Not_DEG",2794,0,FALSE,0
9,"ENSG00000133997","MED6",FALSE,"Not_DEG",59948,0,FALSE,0
10,"ENSG00000278570","NR2E3",TRUE,"UP",25622,2,TRUE,78.0579189758801
11,"ENSG00000235974","VN2R19P",TRUE,"UP",13441,0,FALSE,0
12,"ENSG00000282757","DUXB",FALSE,"Not_DEG",7569,0,FALSE,0
13,"ENSG00000207063","SNORD116-1",FALSE,"Not_DEG",95,0,FALSE,0
14,"ENSG00000207001","SNORD116-2",FALSE,"Not_DEG",95,0,FALSE,0
15,"ENSG00000207014","SNORD116-3",FALSE,"Not_DEG",95,0,FALSE,0
16,"ENSG00000275529","SNORD116-4",FALSE,"Not_DEG",96,0,FALSE,0
17,"ENSG00000207191","SNORD116-5",FALSE,"Not_DEG",95,0,FALSE,0
18,"ENSG00000207442","SNORD116-6",FALSE,"Not_DEG",96,0,FALSE,0
19,"ENSG00000207133","SNORD116-7",FALSE,"Not_DEG",95,0,FALSE,0
20,"ENSG00000207093","SNORD116-8",FALSE,"Not_DEG",95,0,FALSE,0
21,"ENSG00000206727","SNORD116-9",FALSE,"Not_DEG",95,0,FALSE,0
22,"ENSG00000200661","SNORD116-10",TRUE,"DOWN",102,0,FALSE,0
23,"ENSG00000206609","SNORD116-11",FALSE,"Not_DEG",92,0,FALSE,0
24,"ENSG00000207197","SNORD116-12",FALSE,"Not_DEG",92,0,FALSE,0
25,"ENSG00000207137","SNORD116-13",FALSE,"Not_DEG",92,0,FALSE,0
26,"ENSG00000206621","SNORD116-14",FALSE,"Not_DEG",92,0,FALSE,0
27,"ENSG00000207174","SNORD116-15",FALSE,"Not_DEG",92,0,FALSE,0
28,"ENSG00000207263","SNORD116-16",FALSE,"Not_DEG",92,0,FALSE,0
29,"ENSG00000206656","SNORD116-17",TRUE,"DOWN",92,0,FALSE,0
30,"ENSG00000206688","SNORD116-18",FALSE,"Not_DEG",92,0,FALSE,0
31,"ENSG00000278715","SNORD116-20",FALSE,"Not_DEG",1236,0,FALSE,0
32,"ENSG00000277785","SNORD116-21",FALSE,"Not_DEG",92,0,FALSE,0
33,"ENSG00000275127","SNORD116-22",FALSE,"Not_DEG",92,0,FALSE,0
34,"ENSG00000207375","SNORD116-23",FALSE,"Not_DEG",92,0,FALSE,0
35,"ENSG00000207279","SNORD116-24",FALSE,"Not_DEG",92,0,FALSE,0
36,"ENSG00000252326","SNORD116-25",FALSE,"Not_DEG",92,0,FALSE,0
37,"ENSG00000199712","SNORD115-2",FALSE,"Not_DEG",82,0,FALSE,0
